Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Diego Iturralde,es ESP,DF,20.0,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejo Véliz,ar ARG,FW,19.0,6,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58
Jesús Corona,mx MEX,"MF,DF",30.0,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Gattoni,ar ARG,"DF,FW",24.0,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Árbol,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Capitas,es ESP,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulo Dasilva,es ESP,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darío Fuentes,es ESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papu Gómez,ar ARG,"FW,MF",35.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanis Idumbo,be BEL,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto López,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,ar ARG,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafa,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavi Sintes,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahima Sow,sn SEN,FW,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,28.6,38,418,3420.0,38.0,46.0,30.0,76.0,44.0,2.0,2.0,108.0,4.0,44.9,43.3,31.7,75.0,635.0,1416.0,1406.0,1.21,0.79,2.0,1.16,1.95,1.18,0.83,2.01,1.14,1.97
Opponent Total,,,27.2,38,418,3420.0,38.0,52.0,40.0,92.0,47.0,5.0,5.0,81.0,3.0,55.9,52.1,42.0,94.1,693.0,1483.0,1469.0,1.37,1.05,2.42,1.24,2.29,1.47,1.11,2.58,1.37,2.48
