Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Cristhian Mosquera,es ESP,DF,20.0,37,37,3319.0,36.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.0,0.4,35.0,123.0,6.0,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01,Matches
Diego López,es ESP,"MF,FW",22.0,38,35,2737.0,30.4,8.0,5.0,13.0,8.0,0.0,0.0,3.0,0.0,6.6,6.6,5.0,11.6,76.0,85.0,219.0,0.26,0.16,0.43,0.26,0.43,0.22,0.17,0.38,0.22,0.38,Matches
Giorgi Mamardashvili,ge GEO,GK,23.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
César Tárrega,es ESP,DF,22.0,34,34,3026.0,33.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,0.1,2.1,20.0,79.0,1.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,Matches
Luis Rioja,es ESP,"MF,FW",30.0,36,33,2831.0,31.5,5.0,3.0,8.0,3.0,2.0,2.0,6.0,0.0,3.3,1.7,4.5,6.2,93.0,103.0,228.0,0.16,0.1,0.25,0.1,0.19,0.1,0.14,0.25,0.05,0.2,Matches
Javier Guerra,es ESP,MF,21.0,36,31,2581.0,28.7,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,3.2,5.4,50.0,137.0,84.0,0.1,0.1,0.21,0.1,0.21,0.08,0.11,0.19,0.08,0.19,Matches
Enzo Barrenechea,ar ARG,MF,23.0,30,26,2191.0,24.3,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,0.9,2.3,21.0,126.0,16.0,0.04,0.08,0.12,0.04,0.12,0.05,0.04,0.09,0.05,0.09,Matches
Dimitri Foulquier,fr FRA,DF,31.0,32,25,2299.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.4,1.8,48.0,97.0,66.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,Matches
Hugo Duro,es ESP,FW,24.0,31,25,2166.0,24.1,11.0,2.0,13.0,10.0,1.0,1.0,5.0,0.0,9.4,8.6,1.3,9.9,13.0,28.0,88.0,0.46,0.08,0.54,0.42,0.5,0.39,0.05,0.44,0.36,0.41,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,34,24,1977.0,22.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,3.2,4.4,45.0,142.0,77.0,0.0,0.18,0.18,0.0,0.18,0.05,0.14,0.2,0.05,0.2,Matches
José Luis Gayà,es ESP,DF,29.0,23,22,1803.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.6,3.6,29.0,59.0,156.0,0.0,0.05,0.05,0.0,0.05,0.05,0.13,0.18,0.05,0.18,Matches
José Luis García Vayá,es ESP,MF,25.0,34,18,1742.0,19.4,2.0,2.0,4.0,0.0,2.0,2.0,8.0,1.0,2.1,0.5,2.1,2.6,13.0,142.0,19.0,0.1,0.1,0.21,0.0,0.1,0.11,0.11,0.22,0.03,0.14,Matches
Jesus Vazquez,es ESP,DF,21.0,19,10,919.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.8,32.0,21.0,48.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches
Yarek Gasiorowski,es ESP,DF,19.0,15,9,947.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,Matches
Umar Sadiq,ng NGA,FW,27.0,16,9,825.0,9.2,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,3.4,3.4,0.7,4.1,9.0,7.0,49.0,0.55,0.0,0.55,0.55,0.55,0.37,0.08,0.45,0.37,0.45,Matches
