Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Daniel Parejo,es ESP,MF,33.0,36.5,2224,2569,86.6,40111,13261,1001,1069,93.6,915,1001,91.4,255,393,64.9,4,4.1,5.1,-0.1,50,271,35,3,250
Pau Torres,es ESP,DF,25.0,33.9,1855,2179,85.1,37186,12825,632,680,92.9,934,1024,91.2,262,414,63.3,0,1.0,1.4,-1.0,14,187,14,1,197
Yeremi Pino,es ESP,"FW,MF",19.0,27.2,651,845,77.0,8933,1516,412,474,86.9,184,228,80.7,31,49,63.3,6,5.7,4.5,0.3,44,18,24,2,62
Samuel Chukwueze,ng NGA,"FW,MF",23.0,26.0,697,908,76.8,10572,2312,402,467,86.1,229,289,79.2,50,76,65.8,5,4.3,4.4,0.7,44,35,45,7,85
Raúl Albiol,es ESP,DF,36.0,23.5,1303,1472,88.5,28074,10667,321,349,92.0,757,811,93.3,215,287,74.9,0,0.0,0.5,0.0,2,98,5,0,100
Pepe Reina,es ESP,GK,39.0,22.0,685,855,80.1,16159,10999,142,145,97.9,400,405,98.8,143,303,47.2,0,0.7,0.0,-0.7,1,5,0,0,0
Juan Foyth,ar ARG,DF,24.0,21.8,1116,1276,87.5,18588,7017,571,619,92.2,438,480,91.3,91,132,68.9,0,1.6,1.4,-1.6,13,90,13,3,100
Étienne Capoue,fr FRA,MF,34.0,21.7,915,1043,87.7,14387,3476,469,516,90.9,362,393,92.1,52,78,66.7,0,1.2,1.0,-1.2,10,115,8,1,98
Alfonso Pedraza,es ESP,DF,26.0,18.1,641,832,77.0,9606,2553,366,401,91.3,221,283,78.1,35,80,43.8,3,2.0,1.3,1.0,18,22,19,9,31
Alex Baena,es ESP,"MF,FW",21.0,21.6,681,859,79.3,11154,3034,340,380,89.5,257,301,85.4,59,100,59.0,2,5.2,3.8,-3.2,31,75,43,3,124
Nicolas Jackson,sn SEN,FW,21.0,17.8,246,325,75.7,3440,710,143,183,78.1,69,84,82.1,13,15,86.7,4,3.1,2.0,0.9,21,25,9,0,40
Aïssa Mandi,dz ALG,DF,30.0,16.2,826,911,90.7,16064,5793,288,303,95.0,427,462,92.4,98,120,81.7,0,0.3,0.4,-0.3,4,30,3,0,36
Alberto Moreno,es ESP,DF,30.0,14.4,605,730,82.9,9845,2768,298,329,90.6,252,283,89.0,36,64,56.3,1,1.4,1.9,-0.4,12,18,24,6,47
Gerónimo Rulli,ar ARG,GK,30.0,14.0,464,543,85.5,11876,7752,82,83,98.8,270,271,99.6,109,184,59.2,0,0.0,0.0,0.0,0,6,0,0,0
Gerard Moreno,es ESP,FW,30.0,13.7,353,483,73.1,5825,1500,169,216,78.2,129,167,77.2,39,48,81.3,3,2.7,1.4,0.3,19,35,25,1,68
Giovani Lo Celso,ar ARG,"MF,FW",26.0,12.5,578,694,83.3,9815,2691,294,331,88.8,191,225,84.9,72,92,78.3,3,3.3,3.1,-0.3,31,51,29,1,97
