Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Sergi Cardona,es ESP,DF,25.0,32.7,79,2.41,71,3,1,4,0,0,13,0.4,13,0,0,0,0,0
Alex Baena,es ESP,"MF,FW",23.0,28.8,169,5.86,108,41,4,11,4,1,21,0.73,17,2,1,0,1,0
Santi Comesaña,es ESP,MF,27.0,28.4,78,2.74,69,2,1,2,0,4,11,0.39,9,0,0,1,0,1
Logan Costa,cv CPV,DF,23.0,28.7,22,0.76,20,0,0,1,1,0,2,0.07,1,0,0,0,1,0
Kiko Femenía,es ESP,DF,33.0,24.7,43,1.74,35,3,2,0,0,3,5,0.2,5,0,0,0,0,0
Daniel Parejo,es ESP,MF,35.0,25.3,77,3.05,61,13,0,2,1,0,12,0.48,10,1,0,1,0,0
Pape Gueye,sn SEN,MF,25.0,24.7,49,1.98,41,2,0,3,1,2,9,0.36,7,1,0,1,0,0
Thierno Barry,fr FRA,FW,21.0,25.8,46,1.78,32,0,3,6,3,2,6,0.23,5,0,1,0,0,0
Yeremi Pino,es ESP,"MF,FW",21.0,21.5,67,3.12,53,0,5,5,3,1,11,0.51,8,0,0,2,1,0
Ayoze Pérez,es ESP,FW,31.0,21.9,72,3.26,50,0,9,7,4,2,5,0.23,2,0,2,1,0,0
Diego Conde,es ESP,GK,25.0,21.8,3,0.14,1,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Juan Foyth,ar ARG,DF,26.0,16.9,20,1.19,19,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Luiz Lúcio Reis Júnior,br BRA,GK,23.0,16.2,1,0.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nicolas Pépé,ci CIV,"FW,MF",29.0,16.7,65,3.9,46,8,5,2,4,0,7,0.42,7,0,0,0,0,0
Raúl Albiol,es ESP,DF,38.0,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0
Willy Kambwala,fr FRA,DF,19.0,12.4,5,0.4,3,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Pau Navarro,es ESP,DF,19.0,10.2,6,0.59,6,0,0,0,0,0,1,0.1,1,0,0,0,0,0
Eric Bailly,ci CIV,DF,30.0,6.9,2,0.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Denis Suárez,es ESP,MF,30.0,6.8,28,4.14,20,6,0,2,0,0,3,0.44,3,0,0,0,0,0
Ilias Akhomach,ma MAR,"MF,FW",20.0,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0
Gerard Moreno,es ESP,FW,32.0,8.0,39,4.87,31,0,2,3,2,1,4,0.5,2,0,0,1,1,0
Alfonso Pedraza,es ESP,"DF,MF",28.0,5.1,17,3.33,12,1,2,2,0,0,3,0.59,2,0,0,1,0,0
Tajon Buchanan,ca CAN,MF,25.0,4.6,13,2.8,9,1,1,1,1,0,2,0.43,2,0,0,0,0,0
Arnaut Danjuma,nl NED,FW,27.0,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juan Bernat,es ESP,"DF,MF",31.0,2.4,8,3.4,7,0,0,1,0,0,1,0.42,1,0,0,0,0,0
Ramón Terrats,es ESP,"MF,FW",23.0,1.5,4,2.73,2,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Pau Cabanes,es ESP,"MF,FW",19.0,1.8,12,6.63,8,0,1,0,3,0,2,1.1,1,0,0,0,1,0
Karl Etta,cm CMR,"MF,FW",20.0,0.4,1,2.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Arnau Solà,es ESP,MF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Requena,es ESP,MF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thiago Ojeda,ar ARG,MF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.7,38.0,962,25.32,729,82,41,59,35,16,124,3.26,101,4,4,8,6,1
Opponent Total,,,26.8,38.0,868,22.84,644,69,46,54,43,12,87,2.29,58,5,4,9,9,2
