Player,Age,Current club,Market value,Nat.,Season,Contract
"['Juanmi', 'Left Winger']",29,Real Betis,€15.00m,Spain,2021,"Jul 1, 2019"
"['Cristian Tello', 'Left Winger']",30,Real Betis,€5.00m,Spain,2021,"Jul 1, 2017"
"['Rodri Sánchez', 'Right Winger']",22,Real Betis,€4.00m,Spain,2021,"Jul 1, 2021"
"['Diego Lainez', 'Right Winger']",22,Real Betis,€2.50m,Mexico,2021,"Jan 10, 2019"
"['Rober González', 'Right Winger']",21,Real Betis,€2.00m,Spain,2021,"Aug 1, 2020"
"['Joaquín', 'Right Winger']",40,Real Betis,€1.50m,Spain,2021,"Aug 31, 2015"
"['Borja Iglesias', 'Centre-Forward']",29,Real Betis,€15.00m,Spain,2021,"Aug 14, 2019"
"['Willian José', 'Centre-Forward']",30,Real Betis,€12.00m,Brazil,2021,"Jul 1, 2022"
"['Loren Morón', 'Centre-Forward']",28,Real Betis,€4.00m,Spain,2021,"Jan 30, 2018"
"['Raúl García', 'Centre-Forward']",21,Real Betis,€500k,Spain,2021,"Jul 1, 2022"
"['Rui Silva', 'Goalkeeper']",29,Real Betis,€15.00m,Portugal,2022,"Jul 1, 2021"
"['Dani Martín', 'Goalkeeper']",24,Real Betis,€1.50m,Spain,2022,"Jul 18, 2019"
"['Claudio Bravo', 'Goalkeeper']",40,Real Betis,€1.00m,Chile,2022,"Aug 30, 2020"
"['Fran Vieites', 'Goalkeeper']",24,Real Betis,€200k,Spain,2022,"Jul 1, 2024"
"['Germán García', 'Goalkeeper']",19,Real Betis,€0,Spain,2022,
"['Luiz Felipe', 'Centre-Back']",26,Real Betis,€15.00m,Italy,2022,"Jul 4, 2022"
"['Edgar González', 'Centre-Back']",26,Real Betis,€9.00m,Spain,2022,"Jul 21, 2020"
"['Germán Pezzella', 'Centre-Back']",32,Real Betis,€5.00m,Argentina,2022,"Aug 19, 2021"
"['Víctor Ruiz', 'Centre-Back']",34,Real Betis,€1.20m,Spain,2022,"Aug 31, 2020"
"['Félix Garreta', 'Centre-Back']",19,Real Betis,€200k,Spain,2022,
"['Ricardo Visus', 'Centre-Back']",22,Real Betis,€150k,Spain,2022,"Jul 1, 2024"
"['Álex Moreno', 'Left-Back']",30,Real Betis,€15.00m,Spain,2022,"Aug 21, 2019"
"['Abner', 'Left-Back']",23,Real Betis,€7.00m,Brazil,2022,"Jan 15, 2023"
"['Juan Miranda', 'Left-Back']",23,Real Betis,€7.00m,Spain,2022,"Jul 1, 2021"
"['Youssouf Sabaly', 'Right-Back']",30,Real Betis,€5.00m,Senegal,2022,"Jul 1, 2021"
"['Aitor Ruibal', 'Right-Back']",27,Real Betis,€5.00m,Spain,2022,"Jul 1, 2019"
"['Martín Montoya', 'Right-Back']",32,Real Betis,€1.20m,Spain,2022,"Aug 25, 2020"
"['Fran Delgado', 'Right-Back']",21,Real Betis,€350k,Spain,2022,
"['Guido Rodríguez', 'Defensive Midfield']",29,Real Betis,€28.00m,Argentina,2022,"Jan 14, 2020"
"['William Carvalho', 'Defensive Midfield']",31,Real Betis,€14.00m,Portugal,2022,"Jul 13, 2018"
"['Paul Akouokou', 'Defensive Midfield']",25,Real Betis,€3.50m,Cote d'Ivoire,2022,"Sep 10, 2020"
"['Andrés Guardado', 'Central Midfield']",36,Real Betis,€1.50m,Mexico,2022,"Jul 7, 2017"
"['Víctor Camarasa', 'Central Midfield']",29,Real Betis,€800k,Spain,2022,"Jul 1, 2017"
"['Quique Fernández', 'Central Midfield']",19,Real Betis,€150k,Spain,2022,
"['Nabil Fekir', 'Attacking Midfield']",29,Real Betis,€20.00m,France,2022,"Jul 23, 2019"
"['Sergio Canales', 'Attacking Midfield']",32,Real Betis,€15.00m,Spain,2022,"Jul 3, 2018"
"['Dani Pérez', 'Attacking Midfield']",17,Real Betis,€300k,Spain,2022,
"['Juanmi', 'Left Winger']",30,Real Betis,€12.00m,Spain,2022,"Jul 1, 2019"
"['Juan Cruz', 'Left Winger']",23,Real Betis,€1.50m,Spain,2022,"Jul 1, 2023"
"['José Alonso Lara', 'Left Winger']",23,Real Betis,€350k,Spain,2022,
