Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Pedri,es ESP,MF,21.0,32.0,61,34,14,38,9,24,70,34.3,46,45,3,42,26,87,21,1,Matches
Raphinha,br BRA,"FW,MF",27.0,31.5,36,22,6,19,11,19,39,48.7,20,29,2,27,11,47,26,0,Matches
Robert Lewandowski,pl POL,FW,35.0,29.6,10,5,1,5,4,5,11,45.5,6,14,2,12,3,13,26,0,Matches
Lamine Yamal,es ESP,FW,17.0,31.7,42,28,8,17,17,16,38,42.1,22,12,0,12,16,58,3,0,Matches
Pau Cubarsí,es ESP,DF,17.0,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1,Matches
Jules Koundé,fr FRA,DF,25.0,28.9,63,43,29,23,11,44,66,66.7,22,35,5,30,20,83,68,2,Matches
Iñigo Martínez,es ESP,DF,33.0,27.7,25,14,20,5,0,16,22,72.7,6,18,7,11,18,43,108,1,Matches
Alejandro Balde,es ESP,DF,20.0,25.4,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0,Matches
Marc Casado,es ESP,MF,20.0,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,Matches
Iñaki Peña,es ESP,GK,25.0,15.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1,Matches
Wojciech Szczęsny,pl POL,GK,34.0,15.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,20,1,Matches
Eric García,es ESP,"DF,MF",23.0,17.4,38,21,11,24,3,20,29,69.0,9,24,8,16,14,52,41,0,Matches
Gavi,es ESP,"MF,FW",19.0,12.1,30,21,10,15,5,15,26,57.7,11,14,1,13,10,40,7,0,Matches
Dani Olmo,es ESP,"MF,FW",26.0,13.5,16,11,8,5,3,4,14,28.6,10,6,3,3,3,19,11,1,Matches
Fermin López,es ESP,"MF,FW",21.0,13.9,19,15,3,9,7,8,32,25.0,24,11,0,11,5,24,3,0,Matches
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,8,4,2,3,3,3,8,37.5,5,7,1,6,4,12,5,0,Matches
Gerard Martín,es ESP,DF,22.0,11.5,22,10,10,7,5,11,16,68.8,5,16,2,14,13,35,27,0,Matches
Ronald Araújo,uy URU,DF,25.0,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0,Matches
Frenkie de Jong,nl NED,MF,27.0,12.7,19,11,5,8,6,8,16,50.0,8,9,1,8,12,31,7,1,Matches
Marc-André ter Stegen,de GER,GK,32.0,7.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2,Matches
Héctor Fort,es ESP,DF,17.0,6.5,13,8,6,4,3,10,16,62.5,6,12,0,12,6,19,16,0,Matches
Pablo Torre,es ESP,"MF,FW",21.0,3.4,5,4,1,3,1,2,4,50.0,2,0,0,0,3,8,5,1,Matches
Marc Bernal,es ESP,MF,17.0,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,Matches
Ansu Fati,es ESP,FW,21.0,2.6,4,1,0,2,2,1,2,50.0,1,1,0,1,1,5,0,1,Matches
Pau Victor,es ESP,FW,22.0,3.5,3,1,0,2,1,0,3,0.0,3,6,1,5,2,5,5,0,Matches
Andreas Christensen,dk DEN,DF,28.0,2.8,6,4,4,1,1,4,4,100.0,0,2,0,2,4,10,9,0,Matches
Sergi Dominguez,es ESP,DF,19.0,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches
Daniel Rodriguez,es ESP,FW,18.0,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Squad Total,,,24.7,38.0,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14,
Opponent Total,,,26.8,38.0,691,405,378,245,68,375,830,45.2,455,497,175,322,381,1072,1016,38,
