Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Álex Remiro,es ESP,GK,29.0,36.0,955,1291,74.0,26773,18734,137,137,100.0,513,523,98.1,305,625,48.8,0,0.0,0.0,0.0,1,14,0,0,1
Martín Zubimendi,es ESP,MF,25.0,32.9,1482,1772,83.6,25341,7363,685,781,87.7,655,741,88.4,114,177,64.4,1,1.1,1.3,-0.1,19,172,23,1,195
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,1076,1439,74.8,17323,4647,588,657,89.5,342,435,78.6,108,235,46.0,5,8.9,7.5,-3.9,56,77,23,11,93
Jon Aramburu,ve VEN,DF,22.0,27.3,1190,1518,78.4,17685,7225,639,711,89.9,460,593,77.6,49,122,40.2,1,1.1,1.4,-0.1,15,82,11,6,97
Mikel Oyarzabal,es ESP,FW,27.0,25.0,371,505,73.5,4901,837,236,276,85.5,99,133,74.4,11,23,47.8,3,2.4,1.8,0.6,15,19,10,3,28
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,694,962,72.1,9938,2961,425,500,85.0,185,259,71.4,47,97,48.5,0,4.5,3.8,-4.5,45,59,45,11,110
Igor Zubeldia,es ESP,DF,27.0,25.2,1281,1483,86.4,24957,7655,396,436,90.8,778,826,94.2,100,192,52.1,0,0.4,0.6,-0.4,4,93,6,0,101
Javi López,es ESP,DF,22.0,21.5,814,1038,78.4,13096,4784,445,487,91.4,304,399,76.2,53,100,53.0,0,0.4,1.0,-0.4,5,49,14,7,73
Luka Sučić,hr CRO,MF,21.0,19.9,727,882,82.4,11561,2321,387,429,90.2,262,299,87.6,55,89,61.8,1,2.6,2.2,-1.6,25,52,13,2,79
Nayef Aguerd,ma MAR,DF,28.0,19.6,1213,1389,87.3,23636,8366,438,462,94.8,618,662,93.4,144,229,62.9,0,0.1,0.3,-0.1,5,87,3,1,75
Brais Méndez,es ESP,MF,27.0,17.0,631,810,77.9,9572,2725,357,406,87.9,201,251,80.1,46,93,49.5,2,2.0,2.3,0.0,23,68,13,3,91
Aritz Elustondo,es ESP,DF,30.0,16.2,775,907,85.4,14645,4879,286,303,94.4,406,449,90.4,75,127,59.1,0,0.2,0.4,-0.2,4,58,2,0,51
