Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Álex Remiro,es ESP,GK,28.0,37,37,3275.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martín Zubimendi,es ESP,MF,24.0,31,29,2654.0,29.5,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,2.7,2.7,1.5,4.1,34.0,152.0,27.0,0.14,0.03,0.17,0.14,0.17,0.09,0.05,0.14,0.09,0.14
Igor Zubeldia,es ESP,DF,26.0,30,29,2518.0,28.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,0.8,0.8,1.1,1.9,28.0,129.0,0.0,0.0,0.07,0.07,0.0,0.07,0.03,0.04,0.07,0.03,0.07
Robin Le Normand,es ESP,DF,26.0,29,28,2469.0,27.4,2.0,0.0,2.0,2.0,0.0,0.0,13.0,0.0,1.0,1.0,0.1,1.2,21.0,106.0,1.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.04,0.04,0.04
Mikel Merino,es ESP,MF,27.0,32,27,2482.0,27.6,5.0,3.0,8.0,5.0,0.0,0.0,10.0,0.0,3.3,3.3,1.9,5.2,26.0,163.0,99.0,0.18,0.11,0.29,0.18,0.29,0.12,0.07,0.19,0.12,0.19
Brais Méndez,es ESP,"MF,FW",26.0,32,27,2413.0,26.8,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,4.2,4.2,4.2,8.4,45.0,128.0,121.0,0.19,0.22,0.41,0.19,0.41,0.16,0.16,0.31,0.16,0.31
Hamari Traoré,ml MLI,DF,31.0,31,27,2292.0,25.5,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,1.5,2.1,49.0,129.0,83.0,0.0,0.08,0.08,0.0,0.08,0.02,0.06,0.08,0.02,0.08
Takefusa Kubo,jp JPN,"FW,MF",22.0,30,24,2150.0,23.9,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,3.5,3.5,6.4,9.9,136.0,89.0,231.0,0.29,0.17,0.46,0.29,0.46,0.15,0.27,0.42,0.15,0.42
Mikel Oyarzabal,es ESP,"FW,MF",26.0,33,23,2156.0,24.0,9.0,3.0,12.0,7.0,2.0,2.0,3.0,0.0,9.1,7.5,1.7,9.2,27.0,39.0,126.0,0.38,0.13,0.5,0.29,0.42,0.38,0.07,0.45,0.31,0.39
Ander Barrenetxea,es ESP,"FW,MF",21.0,29,20,1427.0,15.9,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.5,3.5,1.3,4.8,56.0,39.0,163.0,0.25,0.06,0.32,0.25,0.32,0.22,0.08,0.3,0.22,0.3
Beñat Turrientes,es ESP,MF,21.0,29,19,1687.0,18.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.5,1.8,26.0,51.0,31.0,0.0,0.05,0.05,0.0,0.05,0.06,0.03,0.09,0.06,0.09
