Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Álex Remiro,es ESP,GK,29.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Martín Zubimendi,es ESP,MF,25.0,32.9,2,24,6,25.0,0.73,0.18,0.08,0.33,13.9,0,0,0,2.6,2.6,0.11,-0.6,-0.6
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,2,18,10,55.6,0.59,0.33,0.11,0.2,24.0,5,0,0,1.9,1.9,0.11,0.1,0.1
Jon Aramburu,ve VEN,DF,22.0,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,0.6,0.6
Mikel Oyarzabal,es ESP,FW,27.0,25.0,9,39,13,33.3,1.56,0.52,0.13,0.38,13.4,0,4,4,9.9,6.8,0.17,-0.9,-1.8
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,5,43,14,32.6,1.63,0.53,0.12,0.36,16.1,0,0,0,3.6,3.6,0.08,1.4,1.4
Igor Zubeldia,es ESP,DF,27.0,25.2,0,12,4,33.3,0.48,0.16,0.0,0.0,17.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Javi López,es ESP,DF,22.0,21.5,0,5,1,20.0,0.23,0.05,0.0,0.0,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Luka Sučić,hr CRO,MF,21.0,19.9,1,43,11,25.6,2.16,0.55,0.02,0.09,23.6,1,0,0,3.3,3.3,0.08,-2.3,-2.3
Nayef Aguerd,ma MAR,DF,28.0,19.6,0,15,5,33.3,0.77,0.26,0.0,0.0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4
Brais Méndez,es ESP,MF,27.0,17.0,3,28,9,32.1,1.65,0.53,0.11,0.33,18.0,4,0,0,3.5,3.5,0.13,-0.5,-0.5
Aritz Elustondo,es ESP,DF,30.0,16.2,0,4,0,0.0,0.25,0.0,0.0,,8.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,1,25,8,32.0,1.78,0.57,0.04,0.13,16.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6
Pablo Marín,es ESP,MF,21.0,13.8,1,21,7,33.3,1.53,0.51,0.05,0.14,18.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4
Aihen Muñoz,es ESP,DF,26.0,12.2,0,6,0,0.0,0.49,0.0,0.0,,30.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,2,22,13,59.1,1.99,1.18,0.09,0.15,19.1,0,0,0,2.0,2.0,0.09,0.0,0.0
Beñat Turrientes,es ESP,MF,22.0,10.5,0,7,1,14.3,0.67,0.1,0.0,0.0,21.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,3,19,7,36.8,1.81,0.67,0.16,0.43,13.1,0,0,0,5.2,5.2,0.27,-2.2,-2.2
Jon Pacheco,es ESP,DF,23.0,9.5,0,1,0,0.0,0.11,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Hamari Traoré,ml MLI,DF,32.0,7.8,0,1,0,0.0,0.13,0.0,0.0,,14.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Olasagasti,es ESP,MF,23.0,9.5,1,13,2,15.4,1.37,0.21,0.08,0.5,18.5,0,0,0,0.9,0.9,0.07,0.1,0.1
Jon Martin,es ESP,DF,18.0,10.0,0,9,1,11.1,0.9,0.1,0.0,0.0,10.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Umar Sadiq,ng NGA,FW,27.0,2.5,0,5,0,0.0,1.98,0.0,0.0,,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Unai Marrero,es ESP,GK,22.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,2,10,5,50.0,3.73,1.87,0.2,0.4,16.9,0,0,0,1.0,1.0,0.1,1.0,1.0
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,1,4,2,50.0,4.93,2.47,0.25,0.5,22.7,0,0,0,0.2,0.2,0.05,0.8,0.8
Urko González,es ESP,MF,23.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Álvaro Odriozola,es ESP,DF,28.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Díaz,es ESP,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luken Beitia,es ESP,DF,20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jon Magunazelaia,es ESP,MF,23.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,25.2,38.0,34,385,122,31.7,10.13,3.21,0.08,0.25,17.5,10,4,4,42.5,39.3,0.1,-8.5,-9.3
Opponent Total,,,26.8,38.0,46,432,135,31.3,11.37,3.55,0.09,0.3,18.7,14,5,7,43.9,38.3,0.09,2.1,2.7
