Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Álex Remiro,es ESP,GK,29.0,36.0,1364,1095,1350,14,0,0,1364,0,0,,0,,766,3774,1911,0,0,0,2,0,669,0
Martín Zubimendi,es ESP,MF,25.0,32.9,2131,122,489,1332,325,59,2131,28,19,67.9,9,32.1,1074,5591,2548,38,34,5,39,17,1412,43
Sergio Gómez,es ESP,"MF,DF",23.0,30.4,1724,38,292,746,708,52,1724,51,22,43.1,25,49.0,843,4335,1912,43,46,6,45,16,1025,154
Jon Aramburu,ve VEN,DF,22.0,27.3,1887,105,630,936,336,20,1887,37,8,21.6,26,70.3,847,3104,1502,26,20,0,34,12,979,53
Mikel Oyarzabal,es ESP,FW,27.0,25.0,729,15,59,348,326,107,725,20,9,45.0,9,45.0,393,1837,772,31,18,16,63,30,532,133
Takefusa Kubo,jp JPN,"MF,FW",23.0,26.4,1341,10,126,537,703,118,1341,157,75,47.8,66,42.0,878,6399,3647,133,63,57,89,48,988,218
Igor Zubeldia,es ESP,DF,27.0,25.2,1732,163,768,923,46,14,1732,6,6,100.0,0,0.0,1036,5787,3741,22,8,1,8,1,1145,3
Javi López,es ESP,DF,22.0,21.5,1247,56,379,567,316,12,1247,39,18,46.2,18,46.2,571,3142,1360,36,29,4,24,22,674,64
Luka Sučić,hr CRO,MF,21.0,19.9,1094,20,146,623,339,32,1094,53,25,47.2,24,45.3,666,3752,1594,30,34,5,33,16,779,56
Nayef Aguerd,ma MAR,DF,28.0,19.6,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1
Brais Méndez,es ESP,MF,27.0,17.0,1020,17,129,527,369,58,1020,50,14,28.0,31,62.0,554,2635,1127,32,17,8,37,34,744,86
Aritz Elustondo,es ESP,DF,30.0,16.2,1092,100,462,581,53,12,1092,8,3,37.5,4,50.0,624,3425,1854,17,6,1,14,6,709,4
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,751,11,102,263,402,63,751,69,26,37.7,40,58.0,470,2996,1239,43,26,19,47,26,522,152
Pablo Marín,es ESP,MF,21.0,13.8,641,20,101,348,202,24,641,35,20,57.1,13,37.1,349,1703,753,20,20,6,40,17,419,47
Aihen Muñoz,es ESP,DF,26.0,12.2,763,44,245,349,173,4,763,12,7,58.3,4,33.3,356,1491,703,26,16,3,10,3,404,28
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,384,10,41,113,236,36,384,11,4,36.4,4,36.4,242,1882,1038,51,16,14,17,4,300,110
Beñat Turrientes,es ESP,MF,22.0,10.5,561,27,108,334,125,8,561,24,13,54.2,7,29.2,317,1866,848,18,17,1,20,11,392,28
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,285,9,25,127,134,37,285,8,2,25.0,5,62.5,122,462,154,6,2,5,17,11,207,50
Jon Pacheco,es ESP,DF,23.0,9.5,585,74,281,299,9,5,585,2,1,50.0,1,50.0,313,1925,1242,12,3,1,4,0,358,0
Hamari Traoré,ml MLI,DF,32.0,7.8,529,22,155,291,88,9,529,10,6,60.0,4,40.0,252,987,455,12,2,5,6,1,299,20
Olasagasti,es ESP,MF,23.0,9.5,512,13,71,294,153,20,512,13,3,23.1,8,61.5,258,1206,534,11,16,2,11,4,335,41
Jon Martin,es ESP,DF,18.0,10.0,677,99,381,278,20,13,677,0,0,,0,,375,1871,1034,4,1,0,8,0,432,0
Umar Sadiq,ng NGA,FW,27.0,2.5,85,1,12,30,46,16,85,9,5,55.6,4,44.4,49,278,94,5,2,3,14,6,66,18
Unai Marrero,es ESP,GK,22.0,2.0,66,61,66,0,0,0,66,0,0,,0,,29,105,48,0,0,0,0,0,26,0
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,105,5,22,38,46,8,105,5,3,60.0,2,40.0,60,222,100,3,1,1,9,6,68,12
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,44,1,8,21,15,2,44,1,1,100.0,0,0.0,21,67,19,0,1,0,1,0,36,4
Urko González,es ESP,MF,23.0,0.5,20,2,7,10,3,1,20,0,0,,0,,12,41,5,0,0,0,1,2,18,0
Álvaro Odriozola,es ESP,DF,28.0,0.5,35,1,11,15,10,0,35,0,0,,0,,21,79,42,0,1,0,3,1,22,0
Daniel Díaz,es ESP,MF,18.0,0.1,6,0,2,1,3,1,6,1,0,0.0,1,100.0,1,0,0,0,0,0,0,0,4,0
Luken Beitia,es ESP,DF,20.0,0.1,7,2,6,1,0,0,7,0,0,,0,,6,12,1,0,0,0,0,0,5,0
Jon Magunazelaia,es ESP,MF,23.0,0.1,16,0,5,9,4,0,16,0,0,,0,,9,28,9,0,0,0,0,0,9,0
Squad Total,,,25.2,38.0,23027,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,67115,34084,645,417,163,603,297,14716,1325
Opponent Total,,,26.8,38.0,20816,2394,7200,8796,5046,752,20809,643,271,42.1,308,47.9,10345,51781,25476,538,384,168,618,341,12516,1128
