Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Iñaki Williams,gh GHA,FW,30.0,29.5,80,2.72,61,1,6,7,3,2,14,0.48,10,0,3,1,0,0
Daniel Vivian,es ESP,DF,25.0,29.0,34,1.17,32,0,1,0,0,1,1,0.03,1,0,0,0,0,0
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,98,3.77,64,19,9,2,2,2,14,0.54,6,4,2,1,1,0
Mikel Jauregizar,es ESP,MF,20.0,24.9,73,2.93,55,6,1,4,3,4,9,0.36,7,0,0,0,2,0
Yuri Berchiche,es ESP,DF,34.0,22.7,40,1.76,33,3,0,1,1,2,2,0.09,2,0,0,0,0,0
Nico Williams,es ESP,FW,22.0,22.2,112,5.05,67,13,21,3,5,3,13,0.59,9,2,1,0,1,0
Unai Simón,es ESP,GK,27.0,21.0,6,0.29,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Gorka Guruzeta,es ESP,FW,27.0,20.4,29,1.42,23,1,0,4,0,1,1,0.05,1,0,0,0,0,0
Aitor Paredes,es ESP,DF,24.0,20.1,8,0.4,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Beñat Prados,es ESP,MF,23.0,19.1,21,1.1,20,0,0,1,0,0,3,0.16,3,0,0,0,0,0
Yeray Álvarez,es ESP,DF,29.0,19.8,18,0.91,15,0,0,0,0,3,2,0.1,2,0,0,0,0,0
Oihan Sancet,es ESP,MF,24.0,18.0,50,2.77,38,0,4,5,3,0,8,0.44,4,0,1,3,0,0
Iñigo Ruiz de Galarreta,es ESP,MF,30.0,16.4,50,3.04,43,4,2,1,0,0,6,0.37,4,2,0,0,0,0
Óscar de Marcos,es ESP,DF,35.0,17.4,47,2.7,43,3,0,0,1,0,8,0.46,8,0,0,0,0,0
Andoni Gorosabel,es ESP,DF,27.0,16.5,32,1.94,29,2,1,0,0,0,2,0.12,2,0,0,0,0,0
Unai Gómez,es ESP,"MF,FW",21.0,14.3,23,1.61,15,4,1,2,1,0,3,0.21,2,0,0,1,0,0
Julen Agirrezabala,es ESP,GK,23.0,13.4,3,0.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adama Boiro,es ESP,"DF,FW",22.0,12.2,16,1.31,12,1,1,1,1,0,0,0.0,0,0,0,0,0,0
Mikel Vesga,es ESP,MF,31.0,11.0,21,1.91,19,0,0,2,0,0,1,0.09,0,0,0,1,0,0
Iñigo Lekue,es ESP,DF,31.0,8.6,16,1.86,11,3,0,1,0,1,1,0.12,0,0,0,1,0,0
Maroan Sannadi,ma MAR,FW,23.0,8.4,16,1.91,8,0,4,2,2,0,2,0.24,1,0,0,0,1,0
Álvaro djaló,es ESP,FW,24.0,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0
Unai Núñez,es ESP,DF,27.0,7.2,2,0.28,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alex Padilla,es ESP,GK,20.0,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ander Herrera,es ESP,MF,34.0,3.0,11,3.64,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Peio Canales,es ESP,"MF,FW",19.0,2.9,10,3.47,5,4,0,0,0,1,0,0.0,0,0,0,0,0,0
Nicolás Serrano,es ESP,FW,21.0,1.2,2,1.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Aingeru Olabarrieta,es ESP,FW,18.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Javi Martón,es ESP,"FW,MF",25.0,0.6,1,1.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adu Ares,es ESP,FW,22.0,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Endika Buján,es ESP,FW,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.9,38.0,832,21.89,630,65,52,38,27,20,92,2.42,63,8,7,8,6,0
Opponent Total,,,26.6,38.0,588,15.47,408,66,39,34,30,11,48,1.26,28,5,2,5,7,1
