Player,Nation,Pos,Age,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Federico Valverde,uy URU,"MF,DF",26.0,33.7,2543,98,528,1461,572,43,2543,28,16,57.1,10,35.7,1525,8009,4084,66,57,5,35,1,1905,76
Kylian Mbappé,fr FRA,FW,25.0,32.3,1572,1,35,439,1114,320,1563,187,83,44.4,91,48.7,1065,6987,3808,150,95,96,84,49,1355,386
Aurélien Tchouaméni,fr FRA,"DF,MF",24.0,29.9,2324,216,798,1332,207,25,2324,16,10,62.5,3,18.8,1440,7111,3821,19,16,1,23,8,1689,13
Thibaut Courtois,be BEL,GK,32.0,30.0,1088,960,1083,5,0,0,1088,1,0,0.0,1,100.0,659,3096,1989,0,0,0,0,0,650,0
Jude Bellingham,eng ENG,MF,21.0,27.6,1881,32,239,910,752,110,1879,75,41,54.7,28,37.3,1229,6054,2818,74,61,14,54,43,1542,143
Antonio Rüdiger,de GER,DF,31.0,25.5,2069,233,969,1016,94,23,2069,7,3,42.9,2,28.6,1373,6532,4120,20,26,2,7,2,1584,4
Lucas Vázquez,es ESP,DF,33.0,24.3,1850,66,481,804,577,58,1850,36,19,52.8,15,41.7,1031,4132,2045,37,17,17,34,13,1331,194
Vinicius Júnior,br BRA,FW,24.0,25.0,1264,4,75,378,839,199,1261,191,82,42.9,95,49.7,952,7763,4525,169,87,106,72,49,1059,256
Fran Garcia,es ESP,DF,24.0,24.1,1792,71,498,703,606,33,1792,23,8,34.8,15,65.2,1001,4606,2683,78,52,15,20,10,1162,177
Rodrygo,br BRA,"FW,MF",23.0,21.4,1340,14,97,464,802,127,1340,111,49,44.1,46,41.4,889,5906,3404,113,87,50,47,15,1068,253
Raúl Asencio,es ESP,DF,21.0,18.6,1149,156,623,501,37,11,1149,9,6,66.7,0,0.0,720,3559,1874,5,5,1,5,6,807,4
Luka Modrić,hr CRO,MF,38.0,20.3,2124,39,315,1170,659,26,2124,24,14,58.3,9,37.5,1419,7207,3491,62,58,13,23,13,1649,63
Brahim Díaz,ma MAR,"FW,MF",24.0,15.4,833,5,76,417,350,66,833,47,24,51.1,19,40.4,541,2501,1223,39,16,12,44,27,669,110
Dani Ceballos,es ESP,MF,27.0,13.5,1473,35,267,940,277,9,1473,15,8,53.3,3,20.0,999,5186,2951,42,30,2,11,7,1206,17
Arda Güler,tr TUR,"MF,FW",19.0,13.9,1058,14,131,477,460,50,1058,45,20,44.4,20,44.4,696,3418,1720,34,33,10,23,9,808,86
Ferland Mendy,fr FRA,DF,29.0,11.2,739,30,188,408,149,4,739,6,3,50.0,3,50.0,447,1626,717,12,10,1,10,9,535,40
Eduardo Camavinga,fr FRA,"MF,DF",21.0,12.2,957,49,272,494,207,15,957,31,15,48.4,10,32.3,565,3051,1699,26,27,7,7,11,643,31
Éder Militão,br BRA,DF,26.0,10.4,819,92,395,395,33,13,819,8,5,62.5,3,37.5,533,2738,1593,7,7,0,6,3,603,1
Andriy Lunin,ua UKR,GK,25.0,7.0,209,178,208,1,0,0,209,0,0,,0,,116,399,212,0,0,0,0,0,109,0
Dani Carvajal,es ESP,DF,32.0,6.8,532,26,126,232,176,12,532,5,2,40.0,3,60.0,278,1288,513,13,5,0,8,6,376,48
David Alaba,at AUT,DF,32.0,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4
Endrick,br BRA,FW,18.0,4.0,127,1,7,41,80,23,127,11,4,36.4,6,54.5,83,569,308,12,5,10,10,3,103,32
Jacobo Ramón,es ESP,DF,19.0,2.3,117,9,57,53,9,3,117,0,0,,0,,59,264,126,0,0,0,2,1,71,2
Jesús Vallejo,es ESP,DF,27.0,1.5,78,7,29,46,5,0,78,0,0,,0,,50,163,62,0,0,0,0,0,52,1
Fran,es ESP,GK,19.0,1.0,22,20,22,0,0,0,22,0,0,,0,,12,40,23,0,0,0,0,0,13,0
Gonzalo García,es ESP,"FW,DF",20.0,0.6,22,0,1,6,15,5,22,0,0,,0,,14,66,19,0,0,0,0,3,17,3
Víctor Muñoz,es ESP,"FW,DF",21.0,0.4,17,0,1,0,16,4,17,2,0,0.0,2,100.0,15,142,40,3,1,2,1,1,16,9
Chema,es ESP,MF,19.0,0.1,3,0,1,1,1,0,3,0,0,,0,,0,0,0,0,0,0,1,0,0,0
Lorenzo Aguado,es ESP,DF,21.0,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0
Daniel Yáñez,es ESP,FW,17.0,0.0,0,0,0,0,0,0,0,0,0,,0,,1,6,6,0,0,0,0,0,1,0
Squad Total,,,26.6,38.0,28252,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,93355,50356,983,696,364,528,290,21223,1953
Opponent Total,,,26.7,38.0,19910,2621,7172,8356,4578,643,19907,521,222,42.6,264,50.7,11509,60630,31994,648,470,160,476,322,12876,1155
