Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Dodi Lukebakio,be BEL,FW,26.0,34.4,11,93,38,40.9,2.71,1.11,0.11,0.26,19.2,2,1,1,10.1,9.3,0.1,0.9,0.7,Matches
Carmona,es ESP,DF,22.0,32.7,0,19,4,21.1,0.58,0.12,0.0,0.0,24.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Loïc Bade,fr FRA,DF,24.0,29.8,1,13,4,30.8,0.44,0.13,0.08,0.25,15.0,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Ørjan Nyland,no NOR,GK,33.0,29.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,1,22,5,22.7,0.79,0.18,0.0,0.0,28.8,6,1,1,1.6,0.8,0.04,-0.6,-0.8,Matches
Adrià Pedrosa,es ESP,DF,26.0,25.5,1,24,7,29.2,0.94,0.27,0.04,0.14,24.5,0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
Isaac Romero,es ESP,FW,24.0,24.0,4,53,17,32.1,2.21,0.71,0.08,0.24,16.9,0,0,1,6.8,6.0,0.11,-2.8,-2.0,Matches
Kike Salas,es ESP,DF,22.0,24.9,3,23,6,26.1,0.92,0.24,0.13,0.5,12.7,0,0,0,1.9,1.9,0.08,1.1,1.1,Matches
Lucien Agoume,fr FRA,MF,22.0,23.5,1,10,2,20.0,0.43,0.09,0.1,0.5,15.0,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
