Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dodi Lukebakio,be BEL,FW,26.0,38,36,3092.0,34.4,11.0,2.0,13.0,10.0,1.0,1.0,3.0,1.0,10.1,9.3,4.5,13.8,131.0,93.0,247.0,0.32,0.06,0.38,0.29,0.35,0.29,0.13,0.42,0.27,0.4,Matches
Carmona,es ESP,DF,22.0,35,35,2942.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.5,0.5,2.0,2.5,45.0,109.0,57.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
Loïc Bade,fr FRA,DF,24.0,32,31,2686.0,29.8,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.6,0.6,0.7,1.3,11.0,62.0,6.0,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04,Matches
Ørjan Nyland,no NOR,GK,33.0,30,30,2673.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Nemanja Gudelj,rs SRB,"MF,DF",32.0,31,27,2493.0,27.7,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,1.6,0.8,0.6,1.5,14.0,64.0,5.0,0.04,0.04,0.07,0.0,0.04,0.06,0.02,0.08,0.03,0.05,Matches
Adrià Pedrosa,es ESP,DF,26.0,31,27,2298.0,25.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.6,2.5,41.0,79.0,96.0,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1,Matches
Isaac Romero,es ESP,FW,24.0,31,26,2156.0,24.0,4.0,2.0,6.0,4.0,0.0,1.0,10.0,1.0,6.8,6.0,2.1,8.1,21.0,29.0,95.0,0.17,0.08,0.25,0.17,0.25,0.28,0.09,0.37,0.25,0.34,Matches
Kike Salas,es ESP,DF,22.0,31,25,2238.0,24.9,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,1.9,1.9,0.6,2.5,7.0,59.0,18.0,0.12,0.08,0.2,0.12,0.2,0.08,0.02,0.1,0.08,0.1,Matches
Lucien Agoume,fr FRA,MF,22.0,35,24,2114.0,23.5,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,2.5,3.3,29.0,135.0,23.0,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,Matches
