Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,30.9,1602,1527,70,57,1,9,3,6,0,0,0,0,1445,5,4,Matches
Óliver Torres,es ESP,"MF,FW",27.0,23.7,1104,1050,42,11,5,23,57,14,8,0,3,0,862,12,26,Matches
Yassine Bounou,ma MAR,GK,31.0,23.9,949,735,212,50,0,2,0,0,0,0,0,0,717,2,0,Matches
Jesús Navas,es ESP,"DF,FW",36.0,22.0,1332,1128,196,20,2,17,135,176,0,0,0,0,1000,8,41,Matches
Marcos Acuña,ar ARG,DF,30.0,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25,Matches
Ivan Rakitić,hr CRO,MF,34.0,19.9,1241,1121,117,66,2,33,74,12,38,8,23,0,997,3,21,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,20.5,770,732,30,6,1,0,33,6,15,5,3,0,588,8,33,Matches
Joan Jordán,es ESP,MF,28.0,17.7,1102,1051,44,34,2,21,8,3,7,3,2,0,963,7,11,Matches
Fernando,br BRA,"MF,DF",35.0,17.5,873,836,31,25,0,21,2,3,0,0,0,0,768,6,6,Matches
Youssef En-Nesyri,ma MAR,FW,25.0,18.5,241,204,35,0,1,2,4,2,0,0,0,0,156,2,5,Matches
Gonzalo Montiel,ar ARG,DF,25.0,16.9,851,707,138,7,3,3,39,128,3,0,2,0,661,6,21,Matches
Loïc Bade,fr FRA,DF,22.0,16.1,847,829,15,12,0,0,4,2,0,0,0,0,735,3,9,Matches
Tanguy Nianzou,fr FRA,DF,20.0,15.2,772,748,22,20,1,3,1,1,0,0,0,0,676,2,5,Matches
Rafa Mir,es ESP,FW,25.0,14.4,262,234,26,0,1,0,6,0,0,0,0,0,176,2,9,Matches
Alex Telles,br BRA,DF,29.0,15.9,728,582,143,27,1,4,83,97,19,7,7,0,542,3,11,Matches
Karim Rekik,nl NED,DF,27.0,13.1,700,671,27,9,0,3,1,18,0,0,0,0,642,2,0,Matches
Pape Gueye,sn SEN,MF,23.0,13.0,553,536,15,15,1,10,18,0,0,0,0,0,447,2,10,Matches
Marko Dmitrović,rs SRB,GK,30.0,14.1,508,330,173,42,0,1,0,0,0,0,0,0,271,5,2,Matches
Lucas Ocampos,ar ARG,"FW,MF",28.0,12.9,450,418,27,2,0,2,26,18,1,0,0,0,333,5,13,Matches
Papu Gómez,ar ARG,"FW,MF",34.0,11.8,535,500,34,8,2,8,40,13,11,3,2,0,450,1,6,Matches
Suso,es ESP,"MF,FW",28.0,11.8,572,520,47,12,6,17,79,11,21,7,8,1,444,5,14,Matches
Bryan Gil,es ESP,"FW,DF",21.0,10.2,374,330,40,3,0,2,29,32,5,0,1,0,284,4,17,Matches
Isco,es ESP,"MF,FW",30.0,8.9,417,371,42,25,3,5,18,2,11,2,7,0,346,4,4,Matches
Carmona,es ESP,DF,20.0,5.9,330,297,32,7,0,2,11,24,0,0,0,0,269,1,3,Matches
Marcão,br BRA,DF,26.0,4.2,217,209,6,5,0,3,0,0,0,0,0,0,187,2,3,Matches
Kike Salas,es ESP,DF,20.0,4.1,211,203,7,7,0,1,0,0,0,0,0,0,177,1,0,Matches
Thomas Delaney,dk DEN,MF,30.0,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1,Matches
Kasper Dolberg,dk DEN,FW,24.0,2.2,28,24,3,0,0,0,0,0,0,0,0,0,19,1,0,Matches
Manu Bueno,es ESP,MF,18.0,1.7,66,64,2,2,1,1,0,0,0,0,0,0,52,0,2,Matches
Jesús Corona,mx MEX,FW,29.0,1.2,42,40,2,1,0,1,3,1,0,0,0,0,33,0,2,Matches
Adnan Januzaj,be BEL,FW,27.0,0.5,24,22,1,0,0,0,1,0,1,0,1,0,15,1,3,Matches
Diego Iturralde,es ESP,DF,19.0,0.5,13,10,3,1,0,0,1,2,0,0,0,0,8,0,0,Matches
Iván Romero,es ESP,MF,21.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Carlos Álvarez,es ESP,MF,18.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Pedro Ortiz,es ESP,MF,21.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.7,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,
Opponent Total,,,27.3,38.0,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277,
