Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Daniel Parejo,2425,ESP,Spain,MF,Central Midfield,35,36,26,2273.0,25.3,3.0,3.0,6.0,2.0,1.0,2.0,8.0,0.0,2.5,0.8,1.8,2.7,19.0,176.0,26.0,0.12,0.12,0.24,0.08,0.2,0.1,0.07,0.17,0.03,0.11,12.0,2.0,16.7,0.48,0.08,0.17,1.0,22.8,0.0,0.07,0.5,1.2,1354.0,1548.0,87.5,25577.0,7819.0,536.0,581.0,92.3,634.0,690.0,91.9,168.0,235.0,71.5,1.9,1.2,23.0,176.0,17.0,3.0,1448.0,96.0,3.0,14.0,37.0,1.0,35.0,16.0,8.0,2.0,4.0,12.0,77.0,3.05,61.0,13.0,0.0,1.0,0.0,12.0,0.48,10.0,1.0,0.0,1.0,0.0,0.0,52.0,40.0,27.0,20.0,5.0,29.0,53.7,25.0,17.0,24.0,76.0,40.0,1.0,1732.0,90.0,12.0,8.0,66.7,3.0,25.0,898.0,0.0,17.0,13.0,1200.0,1500000.0,Villarreal CF
Denis Suárez,2425,ESP,Spain,MF,Attacking Midfield,30,21,7,608.0,6.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.4,27.0,35.0,24.0,0.15,0.15,0.3,0.15,0.3,0.14,0.22,0.36,0.14,0.36,10.0,3.0,30.0,1.48,0.44,0.1,0.33,15.5,0.0,0.09,0.1,0.1,228.0,291.0,78.4,3710.0,1203.0,123.0,141.0,87.2,77.0,90.0,85.6,20.0,39.0,51.3,1.8,-0.5,14.0,21.0,8.0,3.0,265.0,22.0,0.0,5.0,25.0,3.0,11.0,2.0,7.0,0.0,4.0,8.0,28.0,4.14,20.0,6.0,0.0,0.0,0.0,3.0,0.44,3.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,7.0,2.0,3.0,4.0,40.0,6.0,3.0,3.0,15.0,3.0,0.0,358.0,5.0,23.0,10.0,58.8,5.0,29.4,197.0,5.0,13.0,8.0,257.0,1200000.0,Villarreal CF
Diego Collado,2223,ESP,Spain,FW,Left Winger,21,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,5.0,7.0,71.4,111.0,15.0,2.0,3.0,66.7,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,,0.0,,3.0,0.0,0.0,0.0,6.0,1000000.0,Villarreal CF
Diego Conde,2425,ESP,Spain,GK,Goalkeeper,25,22,22,1962.0,21.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,519.0,640.0,81.1,12478.0,8097.0,123.0,124.0,99.2,284.0,290.0,97.9,109.0,222.0,49.1,0.0,0.8,2.0,7.0,1.0,0.0,500.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.14,1.0,2.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,50.0,2.0,0.0,1.0,3.0,9.0,2.0,696.0,602.0,0.0,0.0,,0.0,,393.0,0.0,1.0,0.0,347.0,7500000.0,Villarreal CF
Eric Bailly,2425,CIV,Cote d'Ivoire,DF,Centre-Back,30,12,8,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.0,0.3,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,4.0,0.0,0.0,0.58,0.0,0.0,,7.8,0.0,0.08,-0.3,-0.3,280.0,320.0,87.5,5019.0,1914.0,103.0,109.0,94.5,150.0,165.0,90.9,23.0,41.0,56.1,0.0,0.0,0.0,18.0,0.0,0.0,300.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,6.0,0.0,3.0,75.0,1.0,6.0,6.0,18.0,29.0,0.0,394.0,57.0,5.0,3.0,100.0,0.0,0.0,200.0,0.0,6.0,1.0,251.0,2000000.0,Villarreal CF
Filip Jørgensen,2223,DEN,Denmark,GK,Goalkeeper,20,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,49.0,55.0,89.1,908.0,552.0,16.0,16.0,100.0,27.0,28.0,96.4,6.0,11.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,49.0,0.0,0.0,,0.0,,35.0,0.0,0.0,0.0,30.0,1500000.0,Villarreal CF
Francis Coquelin,2223,FRA,France,MF,Defensive Midfield,31,16,9,748.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.9,11.0,29.0,27.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.23,0.12,0.23,7.0,1.0,14.3,0.84,0.12,0.14,1.0,15.5,0.0,0.14,0.0,0.0,265.0,311.0,85.2,3778.0,803.0,152.0,167.0,91.0,80.0,88.0,90.9,14.0,20.0,70.0,1.2,-1.0,6.0,19.0,3.0,1.0,300.0,7.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,1.09,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,7.0,9.0,2.0,7.0,100.0,0.0,6.0,9.0,27.0,7.0,0.0,391.0,17.0,18.0,2.0,33.3,2.0,33.3,200.0,1.0,18.0,14.0,286.0,3000000.0,Villarreal CF
Gerard Moreno,2223,ESP,Spain,FW,Centre-Forward,30,21,14,1230.0,13.7,7.0,3.0,10.0,6.0,1.0,2.0,4.0,0.0,9.0,7.5,2.7,10.1,21.0,68.0,108.0,0.51,0.22,0.73,0.44,0.66,0.66,0.19,0.86,0.55,0.74,41.0,19.0,46.3,3.0,1.39,0.15,0.32,15.8,0.0,0.19,-2.0,-1.5,353.0,483.0,73.1,5825.0,1500.0,169.0,216.0,78.2,129.0,167.0,77.2,39.0,48.0,81.3,1.4,0.3,19.0,35.0,25.0,1.0,458.0,18.0,5.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,7.0,18.0,48.0,3.52,35.0,0.0,6.0,2.0,1.0,5.0,0.37,4.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,0.0,6.0,5.0,3.0,50.0,3.0,4.0,5.0,16.0,10.0,0.0,634.0,16.0,67.0,29.0,51.8,20.0,35.7,401.0,11.0,32.0,19.0,508.0,20000000.0,Villarreal CF
Gerard Moreno,2425,ESP,Spain,FW,Centre-Forward,32,17,6,721.0,8.0,3.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,4.2,1.8,3.6,5.5,19.0,53.0,60.0,0.37,0.25,0.62,0.0,0.25,0.53,0.45,0.98,0.23,0.69,23.0,9.0,39.1,2.87,1.12,0.0,0.0,18.2,0.0,0.08,-1.2,-1.8,235.0,305.0,77.0,4192.0,1161.0,109.0,127.0,85.8,94.0,109.0,86.2,27.0,43.0,62.8,1.9,-1.6,17.0,30.0,15.0,2.0,289.0,12.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,39.0,4.87,31.0,0.0,2.0,2.0,1.0,4.0,0.5,2.0,0.0,0.0,1.0,1.0,0.0,7.0,4.0,3.0,2.0,2.0,3.0,25.0,9.0,0.0,2.0,9.0,8.0,0.0,404.0,8.0,48.0,18.0,58.1,13.0,41.9,243.0,9.0,17.0,9.0,324.0,4000000.0,Villarreal CF
Gerónimo Rulli,2223,ARG,Argentina,GK,Goalkeeper,30,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,464.0,543.0,85.5,11876.0,7752.0,82.0,83.0,98.8,270.0,271.0,99.6,109.0,184.0,59.2,0.0,0.0,0.0,6.0,0.0,0.0,419.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,6.0,2.0,579.0,476.0,0.0,0.0,,0.0,,335.0,0.0,0.0,0.0,283.0,10000000.0,Villarreal CF
