Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Juan Musso,ar ARG,GK,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Lemar,fr FRA,MF,28,5,0,85,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,1,8,4,0.00,0.00,0.00,0.00,0.00,0.30,0.20,0.50,0.30,0.50,Matches
Adrian Niño,es ESP,FW,20,1,0,12,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.44,1.44,1.44,Matches
Rayane Belaid,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aitor Gismera,es ESP,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonio Gomis,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alejandro Iturbe,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Omar Janneh,es ESP,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ilias Kostis,gr GRE,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Horaţiu Moldovan,ro ROU,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Javier Serrano,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gerónimo Spina,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arthur Vermeeren,be BEL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.4,38,418,3420,38.0,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,1553,1.79,1.34,3.13,1.63,2.97,1.70,1.26,2.96,1.56,2.82,
Opponent Total,,,26.8,38,418,3420,38.0,28,17,45,23,5,5,68,0,33.4,29.5,23.9,53.4,581,1543,1533,0.74,0.45,1.18,0.61,1.05,0.88,0.63,1.51,0.78,1.40,
