Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jan Oblak,si SVN,GK,31.0,36.0,1005,934,1004,1,0,0,1005,2,2,100.0,0,0.0,540,2652,1581,0,0,0,1,0,356,0,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,1238,9,105,501,649,116,1234,65,34,52.3,28,43.1,776,4621,2198,79,51,29,62,40,892,162,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,1678,28,216,748,729,93,1676,35,15,42.9,18,51.4,969,4095,2040,46,56,6,41,20,1255,177,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,1808,78,546,791,487,58,1808,30,14,46.7,13,43.3,1116,5470,3070,82,51,15,29,9,1217,151,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,1784,51,415,1001,378,29,1784,42,25,59.5,14,33.3,1119,5204,2315,29,35,6,49,23,1308,69,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,1034,20,173,416,461,87,1034,68,30,44.1,33,48.5,652,3555,1783,69,42,24,55,20,748,189,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,1523,193,805,677,44,19,1523,4,2,50.0,2,50.0,1001,4140,2052,11,7,0,14,6,1100,6,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,1950,27,308,1144,517,20,1950,35,14,40.0,15,42.9,1373,7726,4286,85,66,3,33,24,1544,64,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,1583,229,834,695,58,17,1583,3,3,100.0,0,0.0,1065,5692,3593,16,16,0,8,3,1162,1,Matches
Javi Galán,es ESP,DF,29.0,19.8,1270,51,406,529,344,16,1270,78,28,35.9,38,48.7,739,3917,2315,52,34,6,22,15,779,107,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,1038,21,203,420,429,75,1038,56,27,48.2,26,46.4,678,4000,2274,72,49,25,31,18,772,179,Matches
José María Giménez,uy URU,DF,29.0,22.2,1582,272,822,735,30,11,1582,3,2,66.7,1,33.3,1006,4430,2336,3,2,0,6,3,1094,1,Matches
Koke,es ESP,MF,32.0,21.4,1829,52,455,1075,313,10,1829,22,9,40.9,11,50.0,1138,4782,2255,22,21,0,15,8,1339,18,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,1062,35,232,555,287,38,1062,42,17,40.5,18,42.9,674,2788,1104,24,23,7,25,23,755,64,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,1366,59,420,606,349,24,1366,30,15,50.0,13,43.3,782,3387,1971,35,28,4,21,3,883,96,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,602,29,58,276,276,116,601,37,14,37.8,22,59.5,323,1713,787,32,13,15,63,32,454,81,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,717,56,290,326,103,8,717,18,4,22.2,9,50.0,421,1705,853,14,15,2,8,4,459,15,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,759,41,232,393,137,11,759,2,1,50.0,1,50.0,432,1914,1318,13,18,1,8,1,516,20,Matches
Axel Witsel,be BEL,DF,35.0,9.5,645,82,325,306,16,4,645,2,1,50.0,1,50.0,405,2146,1194,2,3,1,9,0,418,1,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,354,6,41,136,185,23,354,24,6,25.0,16,66.7,246,1708,1001,43,25,10,11,6,259,62,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,419,4,54,129,243,82,419,38,13,34.2,24,63.2,276,1444,768,30,20,13,29,16,303,85,Matches
Juan Musso,ar ARG,GK,30.0,2.0,61,58,61,0,0,0,61,0,0,,0,,42,224,157,0,0,0,0,0,31,0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,78,0,8,33,37,1,78,3,0,0.0,2,66.7,55,207,54,1,4,0,1,1,62,4,Matches
Adrian Niño,es ESP,FW,20.0,0.1,2,0,0,0,2,2,2,0,0,,0,,1,4,0,0,0,0,0,0,1,1,Matches
Squad Total,,,28.4,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,
Opponent Total,,,26.8,38.0,23851,2405,6916,11439,5686,619,23846,694,308,44.4,319,46.0,13506,67569,34768,581,479,100,577,300,16092,1533,
