Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Jan Oblak,si SVN,GK,31.0,36.0,6,0.17,4,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Julián Álvarez,ar ARG,FW,24.0,27.9,108,3.87,76,9,9,9,2,3,15,0.54,10,1,0,3,0,1,Matches
Antoine Griezmann,fr FRA,"FW,MF",33.0,27.4,93,3.39,69,15,0,6,2,1,13,0.47,12,0,0,1,0,0,Matches
Marcos Llorente,es ESP,"DF,MF",29.0,27.9,56,2.01,50,2,1,2,1,0,12,0.43,11,0,0,0,1,0,Matches
Pablo Barrios,es ESP,MF,21.0,25.9,66,2.55,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0,Matches
Giuliano Simeone,ar ARG,MF,21.0,21.4,50,2.34,40,0,5,2,3,0,9,0.42,7,0,1,0,1,0,Matches
Robin Le Normand,es ESP,DF,27.0,23.9,7,0.29,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0,Matches
Rodrigo De Paul,ar ARG,MF,30.0,23.4,90,3.84,77,6,1,3,2,1,13,0.56,12,0,0,0,1,0,Matches
Clément Lenglet,fr FRA,DF,29.0,21.9,17,0.78,16,0,1,0,0,0,2,0.09,2,0,0,0,0,0,Matches
Javi Galán,es ESP,DF,29.0,19.8,33,1.66,30,1,1,0,1,0,6,0.3,6,0,0,0,0,0,Matches
Samuel Lino,br BRA,"MF,DF",24.0,17.2,49,2.84,39,0,3,4,3,0,6,0.35,4,0,0,1,1,0,Matches
José María Giménez,uy URU,DF,29.0,22.2,7,0.32,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Koke,es ESP,MF,32.0,21.4,51,2.38,48,2,0,0,0,1,5,0.23,5,0,0,0,0,0,Matches
Conor Gallagher,eng ENG,MF,24.0,18.1,32,1.76,24,0,4,0,3,1,8,0.44,5,0,1,0,1,1,Matches
Nahuel Molina,ar ARG,DF,26.0,17.7,44,2.49,32,6,3,1,0,2,5,0.28,5,0,0,0,0,0,Matches
Alexander Sørloth,no NOR,FW,28.0,17.4,30,1.73,19,0,4,5,2,0,5,0.29,2,0,2,1,0,0,Matches
Reinildo Mandava,mz MOZ,DF,30.0,10.5,7,0.67,6,0,0,0,0,1,1,0.1,0,0,0,0,0,1,Matches
César Azpilicueta,es ESP,DF,34.0,9.7,8,0.82,5,2,0,0,0,1,1,0.1,1,0,0,0,0,0,Matches
Axel Witsel,be BEL,DF,35.0,9.5,4,0.42,2,0,1,0,1,0,2,0.21,1,0,1,0,0,0,Matches
Rodrigo Riquelme,es ESP,"MF,DF",24.0,5.7,29,5.05,27,1,1,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Ángel Correa,ar ARG,"FW,MF",29.0,8.9,35,3.92,21,1,4,4,3,2,5,0.56,3,0,2,0,0,0,Matches
Juan Musso,ar ARG,GK,30.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Thomas Lemar,fr FRA,MF,28.0,0.9,4,4.24,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adrian Niño,es ESP,FW,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,38.0,826,21.74,657,49,39,42,24,15,123,3.24,100,1,7,7,5,3,
Opponent Total,,,26.8,38.0,678,17.84,506,55,45,30,36,6,45,1.18,27,4,3,4,7,0,
