Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Diego Llorente,es ESP,DF,30.0,28.0,15,0.54,12,0,0,1,1,1,2,0.07,1,0,0,0,0,1
Johnny Cardoso,us USA,MF,22.0,23.8,35,1.47,29,0,5,0,0,1,1,0.04,1,0,0,0,0,0
Natan,br BRA,DF,23.0,24.2,11,0.46,9,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Marc Bartra,es ESP,DF,33.0,23.3,13,0.56,10,0,1,2,0,0,3,0.13,1,0,0,2,0,0
Abde Ezzalzouli,ma MAR,"FW,MF",22.0,22.0,66,2.99,43,0,10,8,4,1,7,0.32,4,0,0,2,1,0
Romain Perraud,fr FRA,DF,26.0,22.2,36,1.62,32,1,1,2,0,0,5,0.23,4,0,0,1,0,0
Sergi Altimira,es ESP,MF,22.0,21.9,52,2.37,40,0,3,2,1,6,1,0.05,1,0,0,0,0,0
Pablo Fornals,es ESP,"MF,FW",28.0,20.3,88,4.33,78,5,2,3,0,0,9,0.44,9,0,0,0,0,0
Youssouf Sabaly,sn SEN,DF,31.0,17.6,19,1.08,17,1,1,0,0,0,3,0.17,3,0,0,0,0,0
Adrián,es ESP,GK,37.0,19.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Isco,es ESP,MF,32.0,17.2,111,6.46,75,24,3,4,3,2,14,0.81,10,4,0,0,0,0
Giovani Lo Celso,ar ARG,"MF,FW",28.0,16.2,93,5.74,67,19,3,0,4,0,9,0.56,6,1,2,0,0,0
Antony,br BRA,FW,24.0,15.1,77,5.09,61,4,5,4,3,0,9,0.6,6,0,1,2,0,0
Rui Silva,pt POR,GK,30.0,15.0,5,0.33,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ricardo Rodríguez,ch SUI,DF,31.0,14.2,27,1.91,23,1,0,2,0,1,2,0.14,2,0,0,0,0,0
Jesus Rodríguez,es ESP,FW,18.0,12.3,34,2.75,17,0,8,2,7,0,5,0.41,3,0,0,1,1,0
Vitor Roque,br BRA,FW,19.0,13.7,34,2.48,19,0,5,5,5,0,4,0.29,0,0,0,1,3,0
Cucho,co COL,FW,25.0,12.7,46,3.64,32,0,5,5,3,1,8,0.63,5,0,1,0,2,0
Aitor Ruibal,es ESP,"DF,FW",28.0,14.6,36,2.46,31,2,1,1,1,0,4,0.27,4,0,0,0,0,0
Marc Roca,es ESP,MF,27.0,10.1,24,2.38,19,1,2,1,0,1,1,0.1,1,0,0,0,0,0
Cédric Bakambu,cd COD,FW,33.0,7.9,11,1.39,9,0,0,1,1,0,3,0.38,2,0,0,0,1,0
Ezequiel Ávila,ar ARG,FW,30.0,7.5,31,4.12,24,0,1,2,4,0,3,0.4,3,0,0,0,0,0
Héctor Bellerín,es ESP,DF,29.0,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0
William Carvalho,pt POR,MF,32.0,5.4,14,2.6,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fran Vieites,es ESP,GK,25.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ángel Ortíz,es ESP,DF,20.0,3.9,6,1.53,5,0,0,0,1,0,2,0.51,2,0,0,0,0,0
Iker Losada,es ESP,"MF,FW",22.0,3.7,8,2.14,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Assane Diao,sn SEN,FW,18.0,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0
Juanmi,es ESP,"FW,MF",31.0,2.7,5,1.84,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Nabil Fekir,fr FRA,MF,31.0,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
Carlos Guirao,es ESP,MF,21.0,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mateo Flores,es ESP,MF,20.0,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rodri,es ESP,FW,24.0,1.3,11,8.39,7,2,0,1,0,1,0,0.0,0,0,0,0,0,0
Nobel Mendy,fr FRA,DF,19.0,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergio Arribas,es ESP,DF,21.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pablo Garcia,es ESP,FW,17.0,0.4,2,4.62,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27.5,38.0,944,24.84,718,62,59,48,40,17,100,2.63,72,6,4,9,8,1
Opponent Total,,,27.0,38.0,735,19.34,533,67,46,48,30,11,85,2.24,55,7,7,7,7,2
