Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Guido Rodríguez,ar ARG,MF,28.0,31.9,37,1.16,32,1,0,2,2,0,2,0.06,2,0,0,0,0,0
William Carvalho,pt POR,MF,30.0,27.1,60,2.19,53,3,2,2,0,0,7,0.26,7,0,0,0,0,0
Germán Pezzella,ar ARG,DF,31.0,27.9,15,0.54,13,0,1,0,0,1,1,0.04,1,0,0,0,0,0
Borja Iglesias,es ESP,FW,29.0,26.3,40,1.52,29,1,1,5,4,0,5,0.19,4,0,0,1,0,0
Sergio Canales,es ESP,"FW,MF",31.0,26.7,111,4.16,85,16,3,3,3,1,8,0.3,5,2,0,1,0,0
Rui Silva,pt POR,GK,28.0,26.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luiz Felipe,it ITA,DF,25.0,19.6,7,0.36,6,0,0,1,0,0,1,0.05,1,0,0,0,0,0
Luiz Henrique,br BRA,FW,21.0,20.1,47,2.34,28,0,10,5,2,2,4,0.2,2,0,1,1,0,0
Youssouf Sabaly,sn SEN,DF,29.0,18.7,33,1.77,19,2,7,1,3,1,2,0.11,0,0,1,1,0,0
Rodri,es ESP,"FW,MF",22.0,17.8,58,3.26,49,1,3,3,2,0,8,0.45,6,0,0,1,1,0
Édgar González,es ESP,DF,25.0,19.7,7,0.36,6,0,0,1,0,0,1,0.05,0,0,0,1,0,0
Ayoze Pérez,es ESP,"FW,MF",29.0,15.4,49,3.18,33,0,9,3,3,1,4,0.26,1,0,1,0,2,0
Juan Miranda,es ESP,DF,22.0,16.4,38,2.32,30,7,0,0,1,0,4,0.24,4,0,0,0,0,0
Andrés Guardado,mx MEX,MF,35.0,15.3,32,2.1,26,3,0,2,1,0,5,0.33,4,0,0,1,0,0
Aitor Ruibal,es ESP,"DF,FW",26.0,16.2,37,2.29,26,0,5,4,1,1,1,0.06,1,0,0,0,0,0
Álex Moreno,es ESP,DF,29.0,15.0,20,1.33,13,2,3,2,0,0,4,0.27,3,1,0,0,0,0
Claudio Bravo,cl CHI,GK,39.0,12.0,3,0.25,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Nabil Fekir,fr FRA,MF,29.0,10.7,56,5.24,31,10,4,2,9,0,5,0.47,2,0,1,0,2,0
Juanmi,es ESP,FW,29.0,10.3,20,1.94,13,0,3,1,3,0,2,0.19,1,0,1,0,0,0
Abner,br BRA,DF,22.0,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
Willian José,br BRA,FW,30.0,8.1,12,1.48,9,0,0,3,0,0,2,0.25,0,0,0,2,0,0
Martín Montoya,es ESP,DF,31.0,5.0,7,1.39,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Víctor Ruiz,es ESP,DF,33.0,6.2,4,0.64,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paul Akouokou,ci CIV,"MF,DF",24.0,5.0,2,0.4,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Joaquín,es ESP,"MF,FW",41.0,5.5,29,5.37,23,3,1,1,1,0,2,0.37,2,0,0,0,0,0
Juan Cruz,es ESP,FW,22.0,2.0,3,1.52,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Felix Garreta,es ESP,DF,18.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roberto González,es ESP,"FW,MF",21.0,0.6,5,8.33,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Loren Morón,es ESP,FW,28.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fran Delgado,es ESP,DF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28.6,38.0,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0
Opponent Total,,,27.3,38.0,807,21.24,559,92,54,44,47,11,69,1.82,51,4,4,6,3,1
