Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Vinicius Júnior,br BRA,FW,22.0,31.4,1153,1107,41,8,5,10,64,24,7,0,0,0,883,5,61,Matches
Thibaut Courtois,be BEL,GK,30.0,31.0,1136,942,192,40,0,3,0,0,0,0,0,0,980,2,1,Matches
Éder Militão,br BRA,DF,24.0,30.0,1881,1756,123,52,2,40,12,25,0,0,0,0,1660,2,20,Matches
Federico Valverde,uy URU,"MF,FW",24.0,27.8,1641,1611,21,6,3,22,27,14,0,0,0,0,1427,9,26,Matches
Antonio Rüdiger,de GER,DF,29.0,26.8,1617,1562,55,25,3,16,5,20,0,0,0,0,1486,0,14,Matches
Rodrygo,br BRA,"FW,MF",21.0,26.4,1050,991,51,6,2,6,22,9,18,3,2,0,918,8,24,Matches
Toni Kroos,de GER,MF,32.0,23.9,2482,2246,223,123,4,41,122,15,84,27,30,1,2255,13,12,Matches
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,1700,1657,41,40,7,7,12,1,0,0,0,0,1578,2,9,Matches
Karim Benzema,fr FRA,FW,34.0,22.6,1070,1012,52,4,9,7,3,4,9,0,0,0,924,6,25,Matches
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,1504,1389,107,34,4,6,6,73,0,0,0,0,1364,8,15,Matches
David Alaba,at AUT,DF,30.0,20.4,1189,1082,98,45,4,3,26,46,3,3,0,0,1042,9,11,Matches
Dani Carvajal,es ESP,DF,30.0,19.8,1333,1185,146,15,2,10,49,131,0,0,0,0,1133,2,27,Matches
Luka Modrić,hr CRO,MF,36.0,19.4,1521,1415,104,41,7,22,62,10,44,22,12,0,1336,2,23,Matches
Dani Ceballos,es ESP,MF,25.0,17.4,1504,1437,57,26,6,26,16,20,9,2,2,0,1362,10,25,Matches
Nacho,es ESP,DF,32.0,18.2,1184,1072,112,32,0,5,14,76,0,0,0,0,1085,0,7,Matches
Ferland Mendy,fr FRA,DF,27.0,15.0,862,759,101,20,0,3,7,81,0,0,0,0,794,2,8,Matches
Marco Asensio,es ESP,"FW,MF",26.0,16.0,802,722,76,18,5,7,82,8,48,25,7,0,650,4,28,Matches
Lucas Vázquez,es ESP,DF,31.0,12.7,936,826,106,14,2,5,41,92,0,0,0,0,808,4,14,Matches
Andriy Lunin,ua UKR,GK,23.0,7.0,227,186,41,4,0,1,0,0,0,0,0,0,205,0,1,Matches
Eden Hazard,be BEL,FW,31.0,2.2,108,101,7,2,0,0,0,1,2,0,0,0,96,0,2,Matches
Mariano,do DOM,FW,28.0,1.7,41,39,1,0,0,1,0,0,0,0,0,0,32,1,0,Matches
Álvaro Rodríguez,uy URU,FW,18.0,0.9,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Álvaro Odriozola,es ESP,DF,26.0,0.4,28,25,3,0,0,0,3,3,0,0,0,0,27,0,0,Matches
Jesús Vallejo,es ESP,DF,25.0,0.2,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
Sergio Arribas,es ESP,"MF,FW",20.0,0.2,11,9,2,0,0,0,1,0,2,1,0,0,9,0,0,Matches
Casemiro,br BRA,MF,30.0,0.1,8,8,0,0,0,1,0,0,0,0,0,0,7,0,0,Matches
Squad Total,,,27.4,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,
Opponent Total,,,27.3,38.0,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299,
