Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Cristhian Mosquera,es ESP,DF,20.0,36.9,1,5,2,40.0,0.14,0.05,0.2,0.5,10.5,0,0,0,0.4,0.4,0.08,0.6,0.6
Diego López,es ESP,"MF,FW",22.0,30.4,8,44,14,31.8,1.45,0.46,0.18,0.57,15.1,0,0,0,6.6,6.6,0.15,1.4,1.4
Giorgi Mamardashvili,ge GEO,GK,23.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
César Tárrega,es ESP,DF,22.0,33.6,2,20,6,30.0,0.59,0.18,0.1,0.33,10.3,0,0,0,1.9,1.9,0.1,0.1,0.1
Luis Rioja,es ESP,"MF,FW",30.0,31.5,5,28,12,42.9,0.89,0.38,0.11,0.25,21.2,1,2,2,3.3,1.7,0.06,1.7,1.3
Javier Guerra,es ESP,MF,21.0,28.7,3,47,10,21.3,1.64,0.35,0.06,0.3,22.8,1,0,0,2.2,2.2,0.05,0.8,0.8
Enzo Barrenechea,ar ARG,MF,23.0,24.3,1,16,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Dimitri Foulquier,fr FRA,DF,31.0,25.5,0,13,2,15.4,0.51,0.08,0.0,0.0,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Hugo Duro,es ESP,FW,24.0,24.1,11,48,16,33.3,1.99,0.66,0.21,0.63,11.1,1,1,1,9.4,8.6,0.18,1.6,1.4
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,22.0,0,18,5,27.8,0.82,0.23,0.0,0.0,24.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2
José Luis Gayà,es ESP,DF,29.0,20.0,0,12,4,33.3,0.6,0.2,0.0,0.0,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0
José Luis García Vayá,es ESP,MF,25.0,19.4,2,12,4,33.3,0.62,0.21,0.0,0.0,25.8,1,2,2,2.1,0.5,0.04,-0.1,-0.5
Jesus Vazquez,es ESP,DF,21.0,10.2,0,5,1,20.0,0.49,0.1,0.0,0.0,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Yarek Gasiorowski,es ESP,DF,19.0,10.5,0,3,0,0.0,0.29,0.0,0.0,,7.6,0,0,0,1.1,1.1,0.38,-1.1,-1.1
Umar Sadiq,ng NGA,FW,27.0,9.2,5,20,7,35.0,2.18,0.76,0.25,0.71,13.2,0,0,0,3.4,3.4,0.19,1.6,1.6
Thierry Correia,pt POR,DF,25.0,8.5,0,7,3,42.9,0.82,0.35,0.0,0.0,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Mouctar Diakhaby,gn GUI,DF,27.0,7.3,2,11,4,36.4,1.52,0.55,0.18,0.5,9.0,0,0,0,1.5,1.5,0.13,0.5,0.5
