Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Giorgi Mamardashvili,ge GEO,GK,21.0,38.0,697,1086,64.2,20406,15742,144,144,100.0,310,318,97.5,237,613,38.7,0,0.0,0.0,0.0,0,17,0,0,2,Matches
Samuel Lino,br BRA,"FW,MF",22.0,32.1,878,1163,75.5,12024,2590,538,613,87.8,256,342,74.9,36,77,46.8,1,2.1,3.7,-1.1,27,46,30,7,93,Matches
José Luis Gayà,es ESP,DF,27.0,30.1,1284,1734,74.0,21391,7892,681,744,91.5,466,625,74.6,115,276,41.7,3,5.5,5.6,-2.5,58,94,40,27,124,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22.0,28.2,1110,1402,79.2,18396,6030,561,624,89.9,396,485,81.6,110,213,51.6,4,3.4,4.0,0.6,43,143,43,13,197,Matches
Mouctar Diakhaby,gn GUI,DF,25.0,27.2,971,1185,81.9,20225,7159,264,304,86.8,569,643,88.5,131,221,59.3,0,0.3,0.4,-0.3,5,76,0,0,86,Matches
Yunus Musah,us USA,MF,19.0,23.4,604,771,78.3,10218,2277,293,348,84.2,252,296,85.1,43,64,67.2,2,1.8,1.8,0.2,16,52,12,4,93,Matches
Thierry Correia,pt POR,DF,23.0,22.3,1047,1363,76.8,17275,6276,569,640,88.9,362,466,77.7,98,194,50.5,0,1.1,2.1,-1.1,14,101,26,14,104,Matches
Edinson Cavani,uy URU,FW,35.0,16.1,263,354,74.3,4029,556,161,203,79.3,73,94,77.7,22,27,81.5,2,1.7,1.1,0.3,12,14,4,0,20,Matches
Eray Cömert,ch SUI,DF,24.0,18.6,815,945,86.2,17301,5980,208,234,88.9,484,514,94.2,113,170,66.5,0,0.1,0.2,-0.1,3,48,2,0,54,Matches
Hugo Guillamón,es ESP,MF,22.0,18.1,852,1028,82.9,15768,4177,367,407,90.2,335,389,86.1,122,169,72.2,4,1.6,1.5,2.4,25,96,11,3,101,Matches
Gabriel Paulista,br BRA,DF,31.0,16.7,645,769,83.9,12734,5198,221,251,88.0,329,373,88.2,87,127,68.5,0,0.3,0.4,-0.3,5,53,4,0,61,Matches
Nicolás González,es ESP,MF,20.0,15.6,676,778,86.9,10855,3185,339,372,91.1,293,328,89.3,31,52,59.6,1,1.3,1.4,-0.3,12,92,9,0,81,Matches
Dimitri Foulquier,fr FRA,DF,29.0,19.3,663,932,71.1,11039,4516,338,381,88.7,261,361,72.3,51,120,42.5,2,1.7,2.0,0.3,12,61,21,14,70,Matches
Samu Castillejo,es ESP,"FW,MF",27.0,15.1,474,622,76.2,7687,2158,251,284,88.4,159,197,80.7,44,90,48.9,0,3.0,2.7,-3.0,30,49,21,6,76,Matches
Justin Kluivert,nl NED,"FW,MF",23.0,16.1,276,399,69.2,4236,977,163,203,80.3,80,112,71.4,23,50,46.0,0,2.4,2.1,-2.4,23,15,21,10,33,Matches
Cenk Özkacar,tr TUR,DF,21.0,15.2,646,769,84.0,12014,4500,274,315,87.0,308,341,90.3,60,91,65.9,0,0.2,0.3,-0.2,4,54,3,1,61,Matches
Hugo Duro,es ESP,FW,22.0,15.4,203,277,73.3,2602,327,134,169,79.3,47,63,74.6,6,12,50.0,1,1.1,0.5,-0.1,11,13,1,0,19,Matches
Ilaix Moriba,gn GUI,MF,19.0,11.2,403,501,80.4,6210,1890,222,259,85.7,142,169,84.0,27,39,69.2,2,1.0,1.1,1.0,12,53,12,2,67,Matches
Toni Lato,es ESP,"DF,MF",24.0,10.2,390,490,79.6,6140,2040,205,228,89.9,148,177,83.6,26,61,42.6,0,0.9,1.0,-0.9,15,32,10,2,40,Matches
Javier Guerra,es ESP,MF,19.0,6.7,188,239,78.7,2919,763,91,107,85.0,76,86,88.4,10,23,43.5,0,1.1,1.7,-1.1,5,15,10,1,30,Matches
Diego López,es ESP,"FW,MF",20.0,5.0,101,151,66.9,1553,496,56,73,76.7,30,46,65.2,9,14,64.3,1,1.1,1.0,-0.1,10,7,11,4,17,Matches
Marcos André,br BRA,"FW,MF",25.0,5.0,43,64,67.2,631,160,21,32,65.6,18,23,78.3,1,4,25.0,0,0.4,0.2,-0.4,4,4,1,0,7,Matches
Jesus Vazquez,es ESP,"DF,MF",19.0,3.4,142,171,83.0,1882,677,95,104,91.3,42,52,80.8,3,7,42.9,0,0.3,0.5,-0.3,3,12,3,3,13,Matches
Carlos Soler,es ESP,MF,25.0,2.7,92,123,74.8,1388,378,52,59,88.1,23,28,82.1,9,24,37.5,0,0.2,0.2,-0.2,4,5,4,0,13,Matches
Cristhian Mosquera,es ESP,DF,18.0,1.6,53,65,81.5,828,314,29,33,87.9,20,23,87.0,4,9,44.4,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Francisco Perez,es ESP,"FW,MF",19.0,1.6,59,77,76.6,832,197,31,36,86.1,23,29,79.3,1,3,33.3,0,0.0,0.1,0.0,0,2,3,0,8,Matches
Maxi Gómez,uy URU,FW,25.0,1.2,9,14,64.3,131,3,5,5,100.0,2,4,50.0,1,3,33.3,0,0.2,0.2,-0.2,2,0,0,0,0,Matches
Alberto Marí,es ESP,"FW,MF",21.0,1.0,8,20,40.0,102,7,7,12,58.3,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,,,24.2,38.0,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,
Opponent Total,,,27.5,38.0,12580,16357,76.9,229406,88530,5588,6399,87.3,5099,6072,84.0,1540,2918,52.8,34,32.3,32.3,1.7,289,986,232,51,1225,
