Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Asier Illarramendi,2223,ESP,Spain,MF,Defensive Midfield,32,24,13,1076.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,10.0,48.0,24.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.1,0.07,0.1,11.0,3.0,27.3,0.92,0.25,0.09,0.33,20.5,0.0,0.07,0.2,0.2,545.0,640.0,85.2,8295.0,2035.0,297.0,329.0,90.3,198.0,220.0,90.0,32.0,49.0,65.3,0.4,-0.4,10.0,53.0,3.0,1.0,607.0,29.0,0.0,3.0,6.0,5.0,3.0,0.0,2.0,0.0,4.0,10.0,27.0,2.26,22.0,3.0,0.0,1.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,10.0,22.0,4.0,16.0,36.4,28.0,19.0,18.0,54.0,20.0,0.0,790.0,33.0,12.0,7.0,100.0,0.0,0.0,426.0,1.0,15.0,8.0,516.0,2000000.0,Real Sociedad
Beñat Turrientes,2223,ESP,Spain,"MF,FW",Central Midfield,20,6,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,40.0,47.0,85.1,707.0,113.0,20.0,23.0,87.0,14.0,14.0,100.0,5.0,9.0,55.6,0.0,-0.2,2.0,3.0,0.0,0.0,40.0,7.0,0.0,2.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,3.4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,20.0,4.0,2.0,0.0,3.0,3.0,0.0,61.0,3.0,0.0,1.0,33.3,1.0,33.3,30.0,0.0,4.0,2.0,34.0,2000000.0,Real Sociedad
Brais Méndez,2223,ESP,Spain,MF,Attacking Midfield,25,34,28,2407.0,26.7,8.0,4.0,12.0,8.0,0.0,0.0,6.0,0.0,5.6,5.6,3.7,9.3,41.0,137.0,138.0,0.3,0.15,0.45,0.3,0.45,0.21,0.14,0.35,0.21,0.35,60.0,21.0,35.0,2.24,0.79,0.13,0.38,21.4,9.0,0.09,2.4,2.4,1010.0,1312.0,77.0,16082.0,4201.0,546.0,618.0,88.3,303.0,383.0,79.1,110.0,206.0,53.4,4.8,0.3,48.0,92.0,29.0,3.0,1138.0,169.0,7.0,15.0,125.0,6.0,103.0,32.0,49.0,0.0,5.0,25.0,98.0,3.67,54.0,30.0,6.0,5.0,0.0,11.0,0.41,6.0,2.0,1.0,2.0,0.0,0.0,58.0,34.0,18.0,30.0,10.0,24.0,37.5,40.0,24.0,12.0,70.0,14.0,1.0,1608.0,25.0,60.0,15.0,28.3,34.0,64.2,886.0,5.0,49.0,29.0,1093.0,25000000.0,Real Sociedad
Carlos Fernández,2223,ESP,Spain,FW,Centre-Forward,26,24,8,631.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,0.6,2.9,9.0,13.0,54.0,0.14,0.0,0.14,0.14,0.14,0.34,0.08,0.42,0.34,0.42,21.0,5.0,23.8,3.0,0.71,0.05,0.2,13.1,0.0,0.11,-1.4,-1.4,96.0,148.0,64.9,1274.0,273.0,51.0,78.0,65.4,35.0,48.0,72.9,0.0,3.0,0.0,0.3,-0.6,7.0,4.0,4.0,0.0,143.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.27,12.0,0.0,1.0,2.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,1.0,6.7,14.0,1.0,1.0,7.0,4.0,0.0,231.0,5.0,42.0,13.0,65.0,5.0,25.0,141.0,4.0,19.0,12.0,181.0,3000000.0,Real Sociedad
David Silva,2223,ESP,Spain,MF,Attacking Midfield,36,28,25,1937.0,21.5,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,3.8,3.8,3.6,7.3,70.0,162.0,121.0,0.09,0.23,0.33,0.09,0.33,0.17,0.17,0.34,0.17,0.34,30.0,13.0,43.3,1.39,0.6,0.07,0.15,15.4,1.0,0.13,-1.8,-1.8,983.0,1165.0,84.4,15023.0,3274.0,514.0,573.0,89.7,352.0,411.0,85.6,68.0,93.0,73.1,3.0,1.4,35.0,93.0,37.0,2.0,1120.0,37.0,9.0,5.0,20.0,6.0,3.0,1.0,2.0,0.0,8.0,17.0,77.0,3.58,67.0,0.0,3.0,1.0,2.0,14.0,0.65,13.0,0.0,0.0,0.0,0.0,1.0,36.0,21.0,11.0,18.0,7.0,11.0,57.9,8.0,15.0,15.0,51.0,16.0,0.0,1378.0,24.0,78.0,19.0,40.4,19.0,40.4,881.0,19.0,37.0,24.0,1045.0,4000000.0,Real Sociedad
Diego Rico,2223,ESP,Spain,DF,Left-Back,29,20,18,1646.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.5,1.7,32.0,64.0,72.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,9.0,3.0,33.3,0.49,0.16,0.0,0.0,27.5,0.0,0.03,-0.2,-0.2,746.0,985.0,75.7,12521.0,5657.0,371.0,425.0,87.3,306.0,394.0,77.7,53.0,120.0,44.2,1.7,-1.5,10.0,57.0,19.0,10.0,779.0,202.0,0.0,7.0,55.0,181.0,0.0,0.0,0.0,0.0,4.0,21.0,33.0,1.81,26.0,2.0,1.0,1.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,17.0,11.0,7.0,12.0,44.4,15.0,13.0,20.0,55.0,51.0,1.0,1186.0,68.0,8.0,13.0,48.1,9.0,33.3,535.0,1.0,24.0,10.0,627.0,3000000.0,Real Sociedad
Egoitz Arana,2223,ESP,Spain,GK,Goalkeeper,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,Real Sociedad
Igor Zubeldia,2223,ESP,Spain,DF,Centre-Back,25,31,29,2542.0,28.2,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,0.9,0.9,0.4,1.3,14.0,128.0,4.0,0.04,0.04,0.07,0.04,0.07,0.03,0.01,0.04,0.03,0.04,6.0,1.0,16.7,0.21,0.04,0.17,1.0,14.5,0.0,0.14,0.1,0.1,1329.0,1557.0,85.4,26531.0,9705.0,422.0,474.0,89.0,753.0,824.0,91.4,149.0,231.0,64.5,0.6,0.6,3.0,79.0,8.0,1.0,1490.0,62.0,1.0,12.0,3.0,18.0,0.0,0.0,0.0,0.0,5.0,12.0,11.0,0.39,9.0,1.0,0.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,28.0,7.0,0.0,25.0,71.4,10.0,6.0,21.0,56.0,93.0,0.0,1772.0,180.0,10.0,8.0,100.0,0.0,0.0,1080.0,1.0,6.0,1.0,1148.0,15000000.0,Real Sociedad
Jon Karrikaburu,2223,ESP,Spain,FW,Centre-Forward,19,6,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.27,0.3,0.57,0.27,0.57,5.0,1.0,20.0,4.84,0.97,0.0,0.0,20.1,0.0,0.06,-0.3,-0.3,11.0,18.0,61.1,164.0,66.0,5.0,7.0,71.4,2.0,4.0,50.0,2.0,3.0,66.7,0.1,-0.3,1.0,2.0,1.0,0.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,3.0,0.0,,0.0,,22.0,1.0,4.0,3.0,28.0,5000000.0,Real Sociedad
Jon Magunazelaia,2223,ESP,Spain,"MF,FW",Attacking Midfield,21,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.56,0.59,0.03,0.59,1.0,1.0,100.0,1.38,1.38,0.0,0.0,10.8,0.0,0.02,0.0,0.0,8.0,16.0,50.0,150.0,56.0,4.0,10.0,40.0,3.0,4.0,75.0,1.0,1.0,100.0,0.5,-0.4,2.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,28.0,1.0,2.0,1.0,100.0,0.0,0.0,18.0,0.0,3.0,0.0,15.0,700000.0,Real Sociedad
