Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Parejo,es ESP,MF,33.0,37,37,3285.0,36.5,3.0,4.0,7.0,1.0,2.0,4.0,6.0,0.0,4.7,1.3,4.1,5.4,26.0,250.0,32.0,0.08,0.11,0.19,0.03,0.14,0.13,0.11,0.24,0.04,0.15,Matches
Pau Torres,es ESP,DF,25.0,34,34,3054.0,33.9,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.4,2.4,1.0,3.5,76.0,197.0,12.0,0.03,0.0,0.03,0.03,0.03,0.07,0.03,0.1,0.07,0.1,Matches
Yeremi Pino,es ESP,"FW,MF",19.0,36,31,2447.0,27.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,8.0,8.0,5.7,13.7,65.0,62.0,256.0,0.15,0.22,0.37,0.15,0.37,0.29,0.21,0.5,0.29,0.5,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23.0,37,27,2339.0,26.0,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,6.5,6.5,4.3,10.8,133.0,85.0,261.0,0.23,0.19,0.42,0.23,0.42,0.25,0.16,0.41,0.25,0.41,Matches
Raúl Albiol,es ESP,DF,36.0,25,24,2119.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.0,0.1,12.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Pepe Reina,es ESP,GK,39.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Juan Foyth,ar ARG,DF,24.0,24,22,1958.0,21.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,1.6,2.7,47.0,100.0,18.0,0.05,0.0,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13,Matches
Étienne Capoue,fr FRA,MF,34.0,28,22,1955.0,21.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,1.2,3.8,45.0,98.0,72.0,0.14,0.0,0.14,0.14,0.14,0.12,0.06,0.18,0.12,0.18,Matches
Alfonso Pedraza,es ESP,DF,26.0,26,20,1633.0,18.1,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.0,3.2,68.0,31.0,145.0,0.0,0.17,0.17,0.0,0.17,0.07,0.11,0.18,0.07,0.18,Matches
Alex Baena,es ESP,"MF,FW",21.0,35,19,1947.0,21.6,6.0,2.0,8.0,6.0,0.0,0.0,13.0,1.0,3.9,3.9,5.2,9.1,50.0,124.0,110.0,0.28,0.09,0.37,0.28,0.37,0.18,0.24,0.42,0.18,0.42,Matches
Nicolas Jackson,sn SEN,FW,21.0,26,16,1598.0,17.8,12.0,4.0,16.0,12.0,0.0,0.0,6.0,1.0,7.8,7.8,3.1,11.0,49.0,40.0,117.0,0.68,0.23,0.9,0.68,0.9,0.44,0.18,0.62,0.44,0.62,Matches
Aïssa Mandi,dz ALG,DF,30.0,21,16,1461.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,7.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
