Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Marc-André ter Stegen,de GER,GK,30.0,37.2,12,0.32,11,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Robert Lewandowski,pl POL,FW,33.0,31.6,91,2.88,68,1,6,12,4,0,16,0.51,10,0,1,5,0,0
Gavi,es ESP,"MF,FW",17.0,28.1,72,2.56,59,0,3,4,3,3,7,0.25,6,0,1,0,0,0
Alejandro Balde,es ESP,DF,18.0,27.5,65,2.37,49,0,8,2,5,1,7,0.25,7,0,0,0,0,0
Frenkie de Jong,nl NED,MF,25.0,28.2,110,3.91,94,5,6,2,1,2,11,0.39,10,1,0,0,0,0
Jules Koundé,fr FRA,DF,23.0,27.0,41,1.52,39,1,0,1,0,0,7,0.26,7,0,0,0,0,0
Sergio Busquets,es ESP,MF,34.0,26.0,74,2.85,68,0,0,1,4,1,6,0.23,6,0,0,0,0,0
Raphinha,br BRA,FW,25.0,23.0,117,5.08,77,22,4,9,4,1,15,0.65,13,0,1,1,0,0
Pedri,es ESP,MF,19.0,22.0,87,3.96,74,6,1,2,3,1,11,0.5,11,0,0,0,0,0
Andreas Christensen,dk DEN,DF,26.0,19.6,15,0.77,15,0,0,0,0,0,2,0.1,2,0,0,0,0,0
Ronald Araújo,uy URU,DF,23.0,20.0,18,0.9,15,0,0,3,0,0,6,0.3,5,0,0,1,0,0
Ousmane Dembélé,fr FRA,FW,25.0,15.7,86,5.48,52,13,15,3,3,0,12,0.76,9,0,2,1,0,0
Eric García,es ESP,"DF,MF",21.0,15.7,10,0.63,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,29,2.0,24,0,0,4,1,0,3,0.21,3,0,0,0,0,0
Jordi Alba,es ESP,DF,33.0,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,50,3.23,32,6,7,3,1,1,3,0.19,3,0,0,0,0,0
Ansu Fati,es ESP,FW,19.0,15.5,51,3.3,36,1,8,5,0,1,8,0.52,5,0,1,2,0,0
Marcos Alonso,es ESP,DF,31.0,13.0,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0
Franck Kessié,ci CIV,MF,25.0,11.0,21,1.91,15,0,2,4,0,0,2,0.18,1,0,0,1,0,0
Gerard Piqué,es ESP,DF,35.0,4.3,5,1.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Memphis,nl NED,FW,28.0,1.3,8,6.32,5,2,1,0,0,0,0,0.0,0,0,0,0,0,0
Pablo Torre,es ESP,"FW,MF",19.0,1.6,8,5.03,6,2,0,0,0,0,1,0.63,1,0,0,0,0,0
Héctor Bellerín,es ESP,DF,27.0,1.6,5,3.15,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Iñaki Peña,es ESP,GK,23.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,1,3.46,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,1,10.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Lamine Yamal,es ESP,FW,15.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Aleix Garrido,es ESP,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chadi Riad,ma MAR,MF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25.9,38.0,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0
Opponent Total,,,27.4,38.0,560,14.74,410,51,26,37,20,16,25,0.66,17,1,1,3,3,0
