Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Álex Remiro,es ESP,GK,27.0,38.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,17,3,Matches
Martín Zubimendi,es ESP,MF,23.0,34.5,59,33,23,30,6,24,45,53.3,21,44,17,27,37,96,55,4,Matches
Robin Le Normand,es ESP,DF,25.0,31.1,36,23,25,9,2,14,27,51.9,13,22,14,8,33,69,93,0,Matches
Igor Zubeldia,es ESP,DF,25.0,28.2,35,18,28,7,0,25,35,71.4,10,23,17,6,21,56,93,0,Matches
Takefusa Kubo,jp JPN,"FW,MF",21.0,27.1,44,26,18,16,10,16,38,42.1,22,29,1,28,9,53,4,0,Matches
Mikel Merino,es ESP,MF,26.0,27.7,77,49,28,33,16,31,62,50.0,31,38,8,30,20,97,51,1,Matches
Brais Méndez,es ESP,MF,25.0,26.7,58,34,18,30,10,24,64,37.5,40,27,3,24,12,70,14,1,Matches
Alexander Sørloth,no NOR,FW,26.0,26.5,18,9,3,6,9,7,14,50.0,7,15,1,14,2,20,26,1,Matches
David Silva,es ESP,MF,36.0,21.5,36,21,11,18,7,11,19,57.9,8,17,2,15,15,51,16,0,Matches
Aihen Muñoz,es ESP,DF,24.0,19.5,38,23,17,17,4,22,47,46.8,25,26,5,21,9,47,38,0,Matches
Andoni Gorosabel,es ESP,DF,25.0,19.0,41,25,23,9,9,26,43,60.5,17,21,2,19,17,58,23,0,Matches
Diego Rico,es ESP,DF,29.0,18.3,35,21,17,11,7,12,27,44.4,15,18,5,13,20,55,51,1,Matches
Aritz Elustondo,es ESP,DF,28.0,16.1,26,17,15,10,1,14,26,53.8,12,15,6,9,20,46,43,1,Matches
Mikel Oyarzabal,es ESP,"FW,MF",25.0,13.5,13,7,5,3,5,5,19,26.3,14,14,4,10,3,16,5,0,Matches
Asier Illarramendi,es ESP,MF,32.0,12.0,36,18,10,22,4,16,44,36.4,28,27,8,19,18,54,20,0,Matches
Jon Pacheco,es ESP,DF,21.0,13.3,16,10,10,6,0,6,10,60.0,4,9,6,3,12,28,37,1,Matches
Ander Barrenetxea,es ESP,"FW,DF",20.0,9.8,21,15,15,6,0,12,28,42.9,16,15,1,14,5,26,7,0,Matches
Carlos Fernández,es ESP,FW,26.0,7.0,6,4,1,3,2,1,15,6.7,14,1,0,1,1,7,4,0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",18.0,6.5,13,10,6,5,2,4,10,40.0,6,9,0,9,2,15,2,0,Matches
Pablo Marín,es ESP,"MF,FW",19.0,4.0,10,5,5,4,1,2,7,28.6,5,1,0,1,4,14,2,0,Matches
Alex Sola,es ESP,DF,23.0,3.9,18,9,14,3,1,7,10,70.0,3,7,2,5,7,25,10,0,Matches
Ander Guevara,es ESP,MF,25.0,2.5,5,2,2,2,1,1,4,25.0,3,6,1,5,2,7,3,0,Matches
Alexander Isak,se SWE,FW,22.0,1.7,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,Matches
Roberto Navarro,es ESP,"MF,FW",20.0,3.9,5,4,4,0,1,1,2,50.0,1,7,0,7,2,7,2,0,Matches
Beñat Turrientes,es ESP,"MF,FW",20.0,1.2,3,3,3,0,0,1,5,20.0,4,2,0,2,0,3,3,0,Matches
Umar Sadiq,ng NGA,FW,25.0,0.9,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,0,0,Matches
Jon Karrikaburu,es ESP,FW,19.0,1.0,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0,Matches
Jon Magunazelaia,es ESP,"MF,FW",21.0,0.7,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,Matches
Olasagasti,es ESP,"MF,DF",21.0,0.7,4,4,1,2,1,1,2,50.0,1,2,0,2,0,4,1,0,Matches
Ander Martin,es ESP,"MF,FW",21.0,0.5,2,2,1,1,0,1,4,25.0,3,0,0,0,0,2,1,0,Matches
Squad Total,,,25.9,38.0,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13,
Opponent Total,,,27.5,38.0,661,403,341,237,83,293,600,48.8,307,402,110,292,325,986,613,15,
