Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Guido Rodríguez,ar ARG,MF,28.0,31.9,1,22,6,27.3,0.69,0.19,0.05,0.17,24.0,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
William Carvalho,pt POR,MF,30.0,27.1,3,26,9,34.6,0.96,0.33,0.12,0.33,16.5,0,0,0,3.1,3.1,0.12,-0.1,-0.1,Matches
Germán Pezzella,ar ARG,DF,31.0,27.9,0,10,0,0.0,0.36,0.0,0.0,,11.2,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
Borja Iglesias,es ESP,FW,29.0,26.3,15,58,21,36.2,2.21,0.8,0.17,0.48,15.2,0,5,6,14.9,10.2,0.18,0.1,-0.2,Matches
Sergio Canales,es ESP,"FW,MF",31.0,26.7,4,38,10,26.3,1.42,0.37,0.08,0.3,22.8,6,1,1,4.3,3.5,0.09,-0.3,-0.5,Matches
Rui Silva,pt POR,GK,28.0,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luiz Felipe,it ITA,DF,25.0,19.6,0,3,1,33.3,0.15,0.05,0.0,0.0,11.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Luiz Henrique,br BRA,FW,21.0,20.1,1,42,17,40.5,2.09,0.85,0.02,0.06,19.7,0,0,0,2.9,2.9,0.07,-1.9,-1.9,Matches
Youssouf Sabaly,sn SEN,DF,29.0,18.7,1,12,3,25.0,0.64,0.16,0.08,0.33,22.7,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Rodri,es ESP,"FW,MF",22.0,17.8,2,15,6,40.0,0.84,0.34,0.13,0.33,17.4,0,0,0,1.4,1.4,0.09,0.6,0.6,Matches
Édgar González,es ESP,DF,25.0,19.7,0,9,3,33.3,0.46,0.15,0.0,0.0,9.7,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Matches
Ayoze Pérez,es ESP,"FW,MF",29.0,15.4,3,34,14,41.2,2.21,0.91,0.09,0.21,16.8,0,0,0,4.6,4.6,0.14,-1.6,-1.6,Matches
Juan Miranda,es ESP,DF,22.0,16.4,3,21,8,38.1,1.28,0.49,0.14,0.38,18.8,3,0,0,2.4,2.4,0.11,0.6,0.6,Matches
Andrés Guardado,mx MEX,MF,35.0,15.3,1,8,3,37.5,0.52,0.2,0.13,0.33,23.2,1,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Aitor Ruibal,es ESP,"DF,FW",26.0,16.2,0,15,6,40.0,0.93,0.37,0.0,0.0,19.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Álex Moreno,es ESP,DF,29.0,15.0,0,13,4,30.8,0.87,0.27,0.0,0.0,17.9,0,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches
Claudio Bravo,cl CHI,GK,39.0,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nabil Fekir,fr FRA,MF,29.0,10.7,2,24,6,25.0,2.25,0.56,0.04,0.17,21.5,9,1,1,2.4,1.6,0.07,-0.4,-0.6,Matches
