Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Juanmi,es ESP,"FW,MF",31.0,2.7,58,70,82.9,674,153,49,54,90.7,6,8,75.0,2,2,100.0,0,0.4,0.1,-0.4,4,2,1,0,4,Matches
Nabil Fekir,fr FRA,MF,31.0,2.0,67,82,81.7,1052,381,38,43,88.4,20,23,87.0,6,10,60.0,1,0.6,0.8,0.4,6,5,6,2,10,Matches
Carlos Guirao,es ESP,MF,21.0,1.2,36,46,78.3,539,117,19,21,90.5,12,13,92.3,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
Mateo Flores,es ESP,MF,20.0,1.7,56,69,81.2,955,282,25,30,83.3,28,32,87.5,3,5,60.0,0,0.0,0.1,0.0,0,3,1,1,9,Matches
Rodri,es ESP,FW,24.0,1.3,56,66,84.8,941,282,35,36,97.2,14,17,82.4,7,11,63.6,0,0.1,0.3,-0.1,2,4,5,0,8,Matches
Nobel Mendy,fr FRA,DF,19.0,1.2,46,53,86.8,1082,444,13,13,100.0,25,27,92.6,8,13,61.5,0,0.0,0.0,0.0,0,5,0,0,3,Matches
Sergio Arribas,es ESP,DF,21.0,1.0,37,54,68.5,533,210,22,23,95.7,12,20,60.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Pablo Garcia,es ESP,FW,17.0,0.4,10,14,71.4,186,18,6,7,85.7,3,5,60.0,1,2,50.0,0,0.0,0.2,0.0,0,0,0,0,0,Matches
Squad Total,,,27.5,38.0,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,
Opponent Total,,,27.0,38.0,13910,17627,78.9,246914,92271,6224,7089,87.8,6031,7022,85.9,1341,2578,52.0,32,38.4,32.4,-6.4,309,1110,251,69,1411,
