Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Iñaki Williams,gh GHA,FW,30.0,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,16.4,0,0,0,7.6,7.6,0.12,-1.6,-1.6,Matches
Daniel Vivian,es ESP,DF,25.0,29.0,4,18,5,27.8,0.62,0.17,0.22,0.8,13.8,0,0,0,1.9,1.9,0.11,2.1,2.1,Matches
Álex Berenguer,es ESP,"FW,MF",29.0,26.0,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6.0,0.12,-0.8,0.0,Matches
Mikel Jauregizar,es ESP,MF,20.0,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,22.1,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Yuri Berchiche,es ESP,DF,34.0,22.7,0,16,4,25.0,0.7,0.18,0.0,0.0,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Nico Williams,es ESP,FW,22.0,22.2,5,54,19,35.2,2.43,0.86,0.09,0.26,17.6,1,0,0,4.2,4.2,0.08,0.8,0.8,Matches
Unai Simón,es ESP,GK,27.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gorka Guruzeta,es ESP,FW,27.0,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,0.3,0.4,Matches
Aitor Paredes,es ESP,DF,24.0,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,4.7,0,0,0,2.3,2.3,0.38,0.7,0.7,Matches
Beñat Prados,es ESP,MF,23.0,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,20.1,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Yeray Álvarez,es ESP,DF,29.0,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Oihan Sancet,es ESP,MF,24.0,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7,Matches
