Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Iñaki Williams,gh GHA,FW,28.0,36,34,2836.0,31.5,10.0,3.0,13.0,9.0,1.0,2.0,2.0,0.0,10.7,9.1,4.8,13.9,127.0,61.0,341.0,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44,Matches
Óscar de Marcos,es ESP,DF,33.0,37,32,2819.0,31.3,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.4,0.4,3.5,4.0,76.0,204.0,153.0,0.03,0.19,0.22,0.03,0.22,0.01,0.11,0.13,0.01,0.13,Matches
Nico Williams,es ESP,FW,20.0,36,32,2656.0,29.5,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,4.9,4.9,6.4,11.3,174.0,80.0,321.0,0.2,0.14,0.34,0.2,0.34,0.17,0.22,0.38,0.17,0.38,Matches
Oihan Sancet,es ESP,MF,22.0,36,32,2532.0,28.1,10.0,2.0,12.0,8.0,2.0,2.0,6.0,1.0,7.6,6.0,4.2,10.2,91.0,159.0,156.0,0.36,0.07,0.43,0.28,0.36,0.27,0.15,0.42,0.21,0.36,Matches
Unai Simón,es ESP,GK,25.0,31,31,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mikel Vesga,es ESP,MF,29.0,36,28,2575.0,28.6,3.0,3.0,6.0,1.0,2.0,3.0,5.0,0.0,3.9,1.5,1.5,3.0,26.0,199.0,31.0,0.1,0.1,0.21,0.03,0.14,0.14,0.05,0.19,0.05,0.11,Matches
Yuri Berchiche,es ESP,DF,32.0,29,27,2406.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.3,1.3,1.4,2.7,59.0,179.0,95.0,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1,Matches
Yeray Álvarez,es ESP,DF,27.0,28,27,2332.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,1.1,1.9,32.0,152.0,8.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches
Daniel Vivian,es ESP,DF,23.0,29,26,2376.0,26.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.2,1.2,0.7,2.0,25.0,124.0,5.0,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.07,0.05,0.07,Matches
